,회사명,거래소코드,회계년도,영업활동으로인한현금흐름(간접법)(천원),투자활동으로인한현금흐름(천원),재무활동으로인한현금흐름(천원)
93,(주)SNT홀딩스,036530,2016,143865685.0,-50764586.0,-20648764.0
94,(주)SNT홀딩스,036530,2017,104208804.0,-87582797.0,-31461098.0
95,(주)SNT홀딩스,036530,2018,128942884.0,-181259322.0,-91314393.0
96,(주)SNT홀딩스,036530,2019,89185851.0,27442503.0,-10380938.0
97,(주)SNT홀딩스,036530,2020,261292399.0,-173632606.0,-88569066.0
98,(주)SNT홀딩스,036530,2021,90010420.0,-60675197.0,-55542445.0
99,(주)STX,011810,2011,55801000.0,-738589000.0,453660000.0
100,(주)STX,011810,2012,250636000.0,-546582000.0,373696000.0
101,(주)STX,011810,2013,130779000.0,-28285000.0,-343552000.0
102,(주)STX,011810,2014,-76097000.0,44980000.0,77015000.0
103,(주)STX,011810,2015,-15950000.0,42142000.0,-61762000.0
104,(주)STX,011810,2016,57833000.0,53174000.0,-140896000.0
105,(주)STX,011810,2017,100295000.0,47311000.0,-96231000.0
106,(주)STX,011810,2018,-48114000.0,24797000.0,-28778000.0
107,(주)STX,011810,2019,528000.0,-26727000.0,21637000.0
108,(주)STX,011810,2020,57915000.0,-12083000.0,-57741000.0
109,(주)STX,011810,2021,-12528000.0,1726000.0,2746000.0
110,(주)TCC스틸,002710,2011,-10245999.0,-33632208.0,37294243.0
111,(주)TCC스틸,002710,2012,-4610373.0,-43256998.0,58745746.0
112,(주)TCC스틸,002710,2013,-29220038.0,12243850.0,15086672.0
113,(주)TCC스틸,002710,2014,-21440429.0,4309765.0,9083392.0
114,(주)TCC스틸,002710,2015,30047778.0,21985692.0,-47690562.0
115,(주)TCC스틸,002710,2016,-35273178.0,87996322.0,-54304570.0
116,(주)TCC스틸,002710,2017,-1168958.0,272218.0,998322.0
117,(주)TCC스틸,002710,2018,21492009.0,-637436.0,-6479222.0
118,(주)TCC스틸,002710,2019,-6746810.0,-11936714.0,10082864.0
119,(주)TCC스틸,002710,2020,-5592098.0,-4691300.0,8170194.0
120,(주)TCC스틸,002710,2021,7630671.0,27690011.0,-7758386.0
121,(주)가비아,079940,2011,9650833.0,-10140435.0,2707032.0
122,(주)가비아,079940,2012,13224986.0,-20717005.0,8510485.0
123,(주)가비아,079940,2013,12813443.0,-9998158.0,-3471415.0
124,(주)가비아,079940,2014,16223625.0,-10913796.0,-1874697.0
125,(주)가비아,079940,2015,19257887.0,-8773166.0,-3350514.0
126,(주)가비아,079940,2016,17871404.0,-18247920.0,2076073.0
127,(주)가비아,079940,2017,20444884.0,-8859280.0,-5792982.0
128,(주)가비아,079940,2018,21870330.0,-22923889.0,1115424.0
129,(주)가비아,079940,2019,36950567.0,-29988807.0,-8620801.0
130,(주)가비아,079940,2020,50082909.0,-46929586.0,20730746.0
131,(주)가비아,079940,2021,40918498.0,-41060142.0,-13627699.0
134,(주)강스템바이오텍,217730,2017,-10646869.0,6469317.0,6163311.0
135,(주)강스템바이오텍,217730,2018,-11476851.0,-25834675.0,36619657.0
136,(주)강스템바이오텍,217730,2019,-13321543.0,-38130531.0,55910992.0
137,(주)강스템바이오텍,217730,2020,-13994255.0,29848925.0,-13566861.0
138,(주)강스템바이오텍,217730,2021,-16993514.0,-24775059.0,39286023.0
139,(주)강원랜드,035250,2011,417827759.0,-187763915.0,-218788013.0
140,(주)강원랜드,035250,2012,446539739.0,-216998936.0,-194378359.0
141,(주)강원랜드,035250,2013,424407127.0,-193315698.0,-152767943.0
142,(주)강원랜드,035250,2014,510413141.0,-427372634.0,-147999469.0
143,(주)강원랜드,035250,2015,574981576.0,-398949073.0,-172328148.0
144,(주)강원랜드,035250,2016,596486851.0,-411462350.0,-197744218.0
145,(주)강원랜드,035250,2017,463050000.0,-250223124.0,-200251608.0
146,(주)강원랜드,035250,2018,363918692.0,-202048061.0,-202353847.0
147,(주)강원랜드,035250,2019,407868874.0,-211308893.0,-184753547.0
148,(주)강원랜드,035250,2020,-655676332.0,844645283.0,-183581193.0
149,(주)강원랜드,035250,2021,210874269.0,-73863428.0,3335306.0
154,(주)강원에너지,114190,2015,9499050.0,-4069038.0,14510764.0
155,(주)강원에너지,114190,2016,-15783876.0,-272939.0,-1428.0
156,(주)강원에너지,114190,2017,-3706818.0,-746589.0,2950722.0
157,(주)강원에너지,114190,2018,-10173085.0,-801059.0,16693653.0
158,(주)강원에너지,114190,2019,6960049.0,-14687728.0,-8326408.0
159,(주)강원에너지,114190,2020,-4483215.0,23323627.0,-13524494.0
161,(주)갤럭시아에스엠,011420,2011,5951394.0,381972.0,796045.0
162,(주)갤럭시아에스엠,011420,2012,2801469.0,-5044476.0,1396146.0
163,(주)갤럭시아에스엠,011420,2013,4527179.0,-9658129.0,444977.0
164,(주)갤럭시아에스엠,011420,2014,-70410.0,-458207.0,-150000.0
165,(주)갤럭시아에스엠,011420,2015,2451666.0,-3398195.0,20349626.0
166,(주)갤럭시아에스엠,011420,2016,-1195544.0,-559339.0,-958600.0
167,(주)갤럭시아에스엠,011420,2017,-7389242.0,-1969493.0,0.0
168,(주)갤럭시아에스엠,011420,2018,-2809869.0,1068801.0,0.0
169,(주)갤럭시아에스엠,011420,2019,903569.0,995670.0,-2068359.0
