,회사명,거래소코드,회계년도,상장일,자산,당기순이익(손실),미처분이익잉여금(결손금),총자본증가율,비유동자산증가율,유동자산증가율,자기자본증가율,매출액증가율,정상영업이익증가율,순이익증가율,총포괄이익증가율,매출액순이익률,총자본순이익률,자기자본순이익률,매출원가대매출액비율,광고선전비대매출액비율,유보율,비유동비율,유동비율,당좌비율,현금비율,부채비율,유동부채비율,차입금비율,이자보상배율(이자비용),유보액대비율,유보액대납입자본배율,투자집중도
21,(주)DB하이텍,000990,2021,1975/12/12,1549937896.0,316919978.0,824770000.0,31.51,2.14,77.51,39.2,29.78,66.76,90.87,97.35,26.09,23.23,33.35,55.94,0.0,406.03,66.43,243.09,223.4,54.58,40.13,30.32,15.53,121.6,58.3,4.06,114.68
22,(주)ES큐브,050120,2011,2002/04/25,55477032.0,-2933429.0,-3118128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.99,-8.65,-12.61,72.08,8.26,227.25,54.53,230.24,194.35,21.35,41.36,37.71,0.25,-245.99,49.79,2.38,100.85
23,(주)ES큐브,050120,2012,2002/04/25,46281660.0,516857.0,487726.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.64,-0.78,0.29,71.98,5.17,235.11,59.14,472.77,371.91,84.78,16.11,12.05,0.39,1.72,60.85,2.41,80.86
24,(주)ES큐브,050120,2013,2002/04/25,47137573.0,-14749080.0,-13964452.0,1.85,-62.76,68.92,6.4,4.69,0.0,0.0,0.0,-28.08,-35.23,-40.47,75.24,2.6,128.55,20.72,1056.51,883.95,278.73,11.25,8.57,0.36,-37.44,51.18,1.32,80.44
25,(주)ES큐브,050120,2014,2002/04/25,56611836.0,-2412385.0,-2486485.0,20.1,18.41,20.49,0.17,-24.13,0.0,0.0,0.0,-1.38,-1.19,1.15,78.58,0.91,128.93,20.95,769.89,668.53,425.42,14.07,12.1,5.41,22.2,55.43,1.72,124.96
26,(주)ES큐브,050120,2015,2002/04/25,55620280.0,3610344.0,3646306.0,-1.75,38.88,-10.89,1.85,-5.19,0.0,0.0,12.23,-5.47,-4.11,1.56,72.2,16.85,133.16,29.08,765.67,639.55,492.89,12.01,10.83,3.89,-11.86,56.47,1.72,121.44
27,(주)ES큐브,050120,2016,2002/04/25,105164626.0,17469014.0,21106703.0,89.08,275.9,23.57,68.52,-18.65,0.0,3206.73,3188.55,62.82,26.79,38.07,71.32,0.27,244.51,75.71,1493.9,1275.25,918.41,46.68,4.75,41.56,8.98,48.39,2.45,176.82
28,(주)ES큐브,050120,2017,2002/04/25,105892131.0,1218923.0,22258442.0,0.69,1.06,0.3,1.56,4.25,4.05,-92.01,-94.55,4.86,1.65,2.41,72.9,3.61,74.95,75.33,1378.49,1153.05,654.97,45.42,5.08,39.28,2.86,29.46,0.75,182.06
29,(주)ES큐브,050120,2018,2002/04/25,112430896.0,-3836071.0,19157733.0,6.17,22.82,-11.71,-6.15,-5.55,-153.86,-325.15,-317.33,-18.13,-5.61,-5.54,77.11,2.48,68.98,95.22,119.8,95.25,71.07,58.92,53.16,50.84,-0.82,27.68,0.75,186.55
30,(주)ES큐브,050120,2019,2002/04/25,463958680.0,-12738710.0,4184768.0,312.66,55.75,696.75,-18.89,29.45,0.0,0.0,0.0,-31.5,-4.78,-21.76,81.25,0.08,34.11,141.72,156.01,152.69,48.38,526.65,310.83,93.03,-0.68,7.16,0.78,906.84
31,(주)ES큐브,050120,2020,2002/04/25,714889745.0,-29081429.0,-24893968.0,54.08,274.24,-10.26,25.23,84.57,0.0,0.0,0.0,-31.35,-4.29,-39.39,70.07,0.03,1.9,565.03,61.5,59.7,2.11,928.65,753.85,10.17,3.09,0.2,0.02,870.27
32,(주)ES큐브,050120,2021,2002/04/25,1082732056.0,5694998.0,-19163933.0,51.45,-82.89,-34.32,22.47,55.92,-97.25,0.0,0.0,4.27,0.6,11.62,87.85,0.0,24.49,57.99,872.57,817.39,490.81,834.56,20.93,8.41,0.36,4.41,0.69,208.08
33,(주)HJ중공업,097230,2011,2007/08/31,7036680000.0,-116272000.0,855587000.0,-6.49,-2.58,-13.26,-4.59,-8.72,-9.82,0.0,0.0,-3.35,-1.33,-5.07,92.15,0.21,672.79,248.82,96.33,81.81,34.4,276.93,132.98,182.52,0.55,23.12,6.74,194.47
34,(주)HJ중공업,097230,2012,2007/08/31,6585093000.0,13082000.0,848158000.0,-6.42,-7.2,-4.91,-8.1,-11.83,-50.99,0.0,0.0,-2.09,-0.78,-2.95,92.51,0.13,610.26,251.29,92.89,83.75,29.88,283.85,142.72,215.87,0.27,22.41,6.11,202.46
35,(주)HJ중공업,097230,2013,2007/08/31,6683379000.0,-212716000.0,638185000.0,1.49,-9.66,22.63,-4.44,-0.78,0.0,0.0,0.0,-7.52,-2.87,-11.28,97.43,0.12,373.02,237.61,84.9,66.58,17.98,307.77,200.42,230.21,-0.4,19.36,3.74,224.31
36,(주)HJ중공업,097230,2014,2007/08/31,6470284000.0,-225739000.0,401262000.0,-3.19,-1.84,-5.07,-3.88,-0.36,0.0,0.0,0.0,-11.9,-4.56,-18.64,100.67,0.13,207.99,243.01,93.12,70.06,12.33,311.31,180.73,217.82,-0.88,16.43,2.08,213.69
37,(주)HJ중공업,097230,2015,2007/08/31,5914637000.0,-260118000.0,12696000.0,-8.59,-8.83,-8.24,-12.99,23.61,0.0,0.0,0.0,-8.38,-4.21,-17.73,96.44,0.09,168.02,254.65,70.83,45.35,4.75,332.17,250.64,222.9,-0.5,14.52,1.68,167.5
38,(주)HJ중공업,097230,2016,2007/08/31,5256464000.0,-334429000.0,-492725000.0,-11.13,-17.24,-2.36,-34.57,-9.7,0.0,0.0,0.0,-11.89,-5.99,-29.53,97.88,0.05,69.23,322.2,89.96,64.36,5.26,487.19,294.57,350.07,-0.58,6.97,0.69,160.66
39,(주)HJ중공업,097230,2017,2007/08/31,4206655000.0,-299028000.0,-714358000.0,-19.97,-19.82,-20.15,-35.5,-12.83,0.0,0.0,0.0,-11.34,-5.87,-37.73,99.13,0.02,9.25,400.64,56.89,35.58,4.37,628.81,576.82,429.87,-1.08,1.15,0.09,153.68
40,(주)HJ중공업,097230,2019,2007/08/31,2470222000.0,-73654000.0,-1293567000.0,-9.64,15.5,-24.43,0.0,-4.07,35.93,0.0,0.0,18.8,11.77,0.0,89.1,0.03,-40.79,477.43,70.48,50.77,6.64,908.28,753.17,456.22,0.69,-6.88,-0.41,129.55
41,(주)HJ중공업,097230,2020,2007/08/31,2193855000.0,76553000.0,-1219781000.0,-11.19,-3.71,-17.92,30.59,4.12,-38.42,-74.39,-71.94,4.62,3.36,27.71,92.31,0.03,-22.79,351.98,103.19,87.03,20.67,585.57,323.3,274.31,0.89,-4.33,-0.23,108.86
42,(주)HJ중공업,097230,2021,2007/08/31,2385236000.0,-139995000.0,-1360620000.0,8.72,27.51,-11.1,35.0,0.63,0.0,0.0,49.42,-8.19,-6.11,-37.18,101.2,0.05,4.11,332.46,99.9,84.41,12.45,452.13,219.9,201.67,-2.31,0.72,0.04,121.03
43,(주)MH에탄올,023150,2011,1996/12/24,134206851.0,3351943.0,47936751.0,-0.49,-0.4,-0.67,-8.46,-18.64,-82.51,0.0,0.0,-9.73,-3.24,-9.74,83.19,0.01,852.03,207.49,58.36,45.92,5.22,214.54,183.43,27.96,0.12,28.51,8.68,279.52
44,(주)MH에탄올,023150,2012,1996/12/24,134385813.0,2571700.0,50488444.0,0.13,-4.69,9.48,-6.76,33.46,803.71,0.0,0.0,0.48,0.21,1.01,82.03,0.01,787.71,212.65,61.27,36.07,0.73,238.69,205.72,192.7,1.08,26.25,8.0,212.39
45,(주)MH에탄올,023150,2013,1996/12/24,129697936.0,-11627211.0,38836880.0,-3.49,2.54,-13.66,17.05,4.07,-44.79,1640.29,0.0,11.3,5.32,16.85,87.33,0.01,939.04,188.56,57.37,40.78,0.14,182.66,164.02,163.01,0.87,31.98,9.41,190.53
46,(주)MH에탄올,023150,2014,1996/12/24,85534839.0,4618332.0,43110947.0,-34.05,-34.35,-33.46,15.27,-21.25,190.55,0.0,-98.66,-0.41,-0.19,-0.38,75.76,0.14,1048.39,107.61,90.87,68.77,0.02,62.03,59.9,55.71,5.62,56.34,10.48,141.36
47,(주)MH에탄올,023150,2015,1996/12/24,78996052.0,7744832.0,48918815.0,-7.64,-0.54,-21.69,9.65,2.86,26.84,0.0,8529.74,15.44,9.46,14.06,72.29,0.01,1178.69,97.6,109.55,92.01,15.38,36.47,35.48,32.17,12.69,68.59,11.79,126.67
