회사명,거래소코드,회계년도,[제조]   연구비(연결),[제조]   경상개발비(연결),[제조]매출액(영업수익)(*)
(주)STX,011810,2016/12,0,0,1465561000
(주)STX,011810,2017/12,0,0,1595494000
(주)STX,011810,2018/12,0,0,1329890000
(주)STX,011810,2019/12,0,0,1237876000
(주)STX,011810,2020/12,0,0,788462000
(주)STX,011810,2021/12,0,0,647804000
(주)TCC스틸,002710,2011/12,0,0,456928069
(주)TCC스틸,002710,2012/12,0,0,440568155
(주)TCC스틸,002710,2013/12,0,0,419483813
(주)TCC스틸,002710,2014/12,0,0,401323585
(주)TCC스틸,002710,2015/12,0,0,350074629
(주)TCC스틸,002710,2016/12,0,0,317235565
(주)TCC스틸,002710,2017/12,0,0,333762378
(주)TCC스틸,002710,2018/12,0,0,351301866
(주)TCC스틸,002710,2019/12,0,0,339334364
(주)TCC스틸,002710,2020/12,0,0,323435107
(주)TCC스틸,002710,2021/12,0,0,407836319
(주)가비아,079940,2011/12,0,719100,33792831
(주)가비아,079940,2012/12,0,1019486,38482449
(주)가비아,079940,2013/12,0,2215924,40507693
(주)가비아,079940,2014/12,0,2192163,43906243
(주)가비아,079940,2015/12,0,2536832,48446932
(주)가비아,079940,2016/12,0,3274580,49430564
(주)가비아,079940,2017/12,0,4699364,52365659
(주)가비아,079940,2018/12,0,4633946,55197652
(주)가비아,079940,2019/12,0,0,58254105
(주)가비아,079940,2020/12,0,0,64097025
(주)가비아,079940,2021/12,0,5865930,71873259
(주)강스템바이오텍,217730,2015/12,,,1484593
(주)강스템바이오텍,217730,2016/12,,,842805
(주)강스템바이오텍,217730,2017/12,0,6714811,5394323
(주)강스템바이오텍,217730,2018/12,0,6181361,1001039
(주)강스템바이오텍,217730,2019/12,0,12415383,282069
(주)강스템바이오텍,217730,2020/12,0,12638595,295379
(주)강스템바이오텍,217730,2021/12,0,14652929,3756744
(주)강원랜드,035250,2011/12,0,71679,1263651213
(주)강원랜드,035250,2012/12,0,144553,1292896121
(주)강원랜드,035250,2013/12,0,64208,1356906162
(주)강원랜드,035250,2014/12,0,48445,1492291312
(주)강원랜드,035250,2015/12,0,108201,1630976696
(주)강원랜드,035250,2016/12,0,114514,1694575212
(주)강원랜드,035250,2017/12,0,64234,1602901764
(주)강원랜드,035250,2018/12,0,49171,1436042435
(주)강원랜드,035250,2019/12,0,60061,1517612252
(주)강원랜드,035250,2020/12,0,8215,477474858
(주)강원랜드,035250,2021/12,0,10650,787377362
(주)강원에너지,114190,2011/11,,,50222892
(주)강원에너지,114190,2011/12,,,5803423
(주)강원에너지,114190,2012/12,,,106471214
(주)강원에너지,114190,2013/12,,,50660659
(주)강원에너지,114190,2014/12,,,51481321
(주)강원에너지,114190,2015/12,0,1748860,48852892
(주)강원에너지,114190,2016/12,0,2026155,44448760
(주)강원에너지,114190,2017/12,0,0,83113029
(주)강원에너지,114190,2018/12,0,0,85905365
(주)강원에너지,114190,2019/12,0,0,42549622
(주)강원에너지,114190,2020/12,0,0,38345166
(주)강원에너지,114190,2021/12,,,44163151
(주)갤럭시아에스엠,011420,2011/12,0,0,31931418
(주)갤럭시아에스엠,011420,2012/12,0,0,37398255
(주)갤럭시아에스엠,011420,2013/12,0,0,30903637
(주)갤럭시아에스엠,011420,2014/12,0,0,33027933
(주)갤럭시아에스엠,011420,2015/12,0,0,53784932
(주)갤럭시아에스엠,011420,2016/12,0,0,45665676
(주)갤럭시아에스엠,011420,2017/12,0,0,36917656
(주)갤럭시아에스엠,011420,2018/12,0,0,22030258
(주)갤럭시아에스엠,011420,2019/12,0,0,28732679
(주)갤럭시아에스엠,011420,2020/12,,,19539594
(주)갤럭시아에스엠,011420,2021/12,,,28899467
(주)경농,002100,2011/12,0,3721380,120728258
(주)경농,002100,2012/12,0,5848876,131021366
(주)경농,002100,2013/12,0,5776893,139237273
(주)경농,002100,2014/12,0,8514785,134806677
(주)경농,002100,2015/12,0,9788474,137609256
(주)경농,002100,2016/12,0,11642420,143209666
(주)경농,002100,2017/12,0,8450006,143175105
(주)경농,002100,2018/12,0,7409758,146216658
(주)경농,002100,2019/12,0,6867950,151342037
(주)경농,002100,2020/12,0,7158687,165655312
(주)경농,002100,2021/12,0,6432904,174767545
(주)경동나비엔,009450,2011/12,0,4008692,318269213
(주)경동나비엔,009450,2012/12,0,4633336,341339118
(주)경동나비엔,009450,2013/12,0,4921221,371601179
(주)경동나비엔,009450,2014/12,0,6451007,382392117
(주)경동나비엔,009450,2015/12,0,5529749,448302084
(주)경동나비엔,009450,2016/12,0,7692663,506082201
(주)경동나비엔,009450,2017/12,0,9040550,569819524
(주)경동나비엔,009450,2018/12,0,12570808,618058456
(주)경동나비엔,009450,2019/12,0,10204000,655419303
(주)경동나비엔,009450,2020/12,0,10151328,746324940
(주)경동나비엔,009450,2021/12,0,12847472,951116272
(주)경동도시가스,267290,2017/12,0,0,870828897
(주)경동도시가스,267290,2018/12,0,0,1605687067
(주)경동도시가스,267290,2019/12,0,0,1421866212
(주)경동도시가스,267290,2020/12,0,0,1086023402
(주)경동도시가스,267290,2021/12,0,0,1456385933
(주)경동인베스트,012320,2011/12,0,456618,1806174764
(주)경동인베스트,012320,2012/12,0,0,2403814656
(주)경동인베스트,012320,2013/12,0,0,2664100017
(주)경동인베스트,012320,2014/12,0,0,2399450987
(주)경동인베스트,012320,2015/12,0,0,1352478311
(주)경동인베스트,012320,2016/12,0,0,1021002691
(주)경동인베스트,012320,2017/12,0,0,612436
(주)경동인베스트,012320,2018/12,0,0,7460898
(주)경동인베스트,012320,2019/12,0,0,8641051
(주)경동인베스트,012320,2020/12,0,0,7700621
(주)경동인베스트,012320,2021/12,0,0,8866143
(주)경방,000050,2011/12,0,0,275746943
(주)경방,000050,2012/12,0,1826,265409209
(주)경방,000050,2013/12,0,131,264782077
(주)경방,000050,2014/12,0,4420,256979444
(주)경방,000050,2015/12,0,16474,307744480
(주)경방,000050,2016/12,0,7285,313876822
(주)경방,000050,2017/12,0,16967,288103985
(주)경방,000050,2018/12,0,29577,279085217
(주)경방,000050,2019/12,0,34018,253552382
(주)경방,000050,2020/12,0,28087,226061886
(주)경방,000050,2021/12,0,22381,271718425
(주)경보제약,214390,2015/12,,,178032632
(주)경보제약,214390,2016/12,,,186726170
(주)경보제약,214390,2017/12,,,191661374
(주)경보제약,214390,2018/12,,,201343596
(주)경보제약,214390,2019/12,,,191706189
(주)경보제약,214390,2020/12,,,215285095
(주)경보제약,214390,2021/12,,,170659645
(주)경인양행,012610,2011/12,0,0,128707611
(주)경인양행,012610,2012/12,0,0,141304459
(주)경인양행,012610,2013/12,0,0,183106757
(주)경인양행,012610,2014/12,0,0,190395047
(주)경인양행,012610,2015/12,0,0,175006703
(주)경인양행,012610,2016/12,0,0,179267850
(주)경인양행,012610,2017/12,0,0,193975818
(주)경인양행,012610,2018/12,0,0,222659442
(주)경인양행,012610,2019/12,0,0,245244968
(주)경인양행,012610,2020/12,0,0,214380449
(주)경인양행,012610,2021/12,0,0,276226577
(주)고려시멘트,198440,2014/12,,,
(주)고려시멘트,198440,2015/12,,,
(주)고려시멘트,198440,2016/12,,,
(주)고려시멘트,198440,2017/12,,,87660276
(주)고려시멘트,198440,2018/12,,,85775723
