,회사명,거래소코드,회계년도,직급명,1인평균지급액(임원),1인년간평균급여(직원)
174,(주)MH에탄올,23150,2015/12,등기이사,285543.0,48575.0
177,(주)MH에탄올,23150,2016/12,사외이사 (감사위원회 위원 제외),36000.0,57211.0
180,(주)MH에탄올,23150,2016/12,"등기이사(사외이사,감사위원회 위원 제외)",267169.0,57211.0
181,(주)MH에탄올,23150,2017/12,사외이사 (감사위원회 위원 제외),36000.0,55964.0
184,(주)MH에탄올,23150,2017/12,"등기이사(사외이사,감사위원회 위원 제외)",263620.0,55964.0
186,(주)MH에탄올,23150,2018/12,사외이사 (감사위원회 위원 제외),36000.0,71137.0
187,(주)MH에탄올,23150,2018/12,"등기이사(사외이사,감사위원회 위원 제외)",278140.0,71137.0
191,(주)MH에탄올,23150,2019/12,사외이사 (감사위원회 위원 제외),36000.0,76930.0
192,(주)MH에탄올,23150,2019/12,"등기이사(사외이사,감사위원회 위원 제외)",284267.0,76930.0
193,(주)MH에탄올,23150,2020/12,"등기이사(사외이사,감사위원회 위원 제외)",282750.0,70524.0
196,(주)MH에탄올,23150,2020/12,사외이사 (감사위원회 위원 제외),36250.0,70524.0
199,(주)MH에탄올,23150,2021/12,"등기이사(사외이사,감사위원회 위원 제외)",288302.0,76687.0
200,(주)MH에탄올,23150,2021/12,사외이사 (감사위원회 위원 제외),36400.0,76687.0
201,(주)SH에너지화학,2360,2011/12,등기이사,45000.0,42000.0
205,(주)SH에너지화학,2360,2012/12,등기이사,75000.0,52000.0
207,(주)SH에너지화학,2360,2013/12,등기이사,62000.0,53000.0
210,(주)SH에너지화학,2360,2014/12,등기이사,103000.0,59000.0
215,(주)SH에너지화학,2360,2015/12,등기이사,221000.0,59000.0
217,(주)SH에너지화학,2360,2016/12,"등기이사(사외이사,감사위원회 위원 제외)",332000.0,64000.0
219,(주)SH에너지화학,2360,2016/12,사외이사 (감사위원회 위원 제외),0.0,64000.0
221,(주)SH에너지화학,2360,2017/12,"등기이사(사외이사,감사위원회 위원 제외)",317000.0,61000.0
224,(주)SH에너지화학,2360,2017/12,사외이사 (감사위원회 위원 제외),0.0,61000.0
226,(주)SH에너지화학,2360,2018/12,"등기이사(사외이사,감사위원회 위원 제외)",266000.0,60000.0
228,(주)SH에너지화학,2360,2018/12,사외이사 (감사위원회 위원 제외),0.0,60000.0
