회사명,거래소코드,회계년도,[제조]비유동비율(IFRS연결),[제조]유동비율(IFRS연결),[제조]당좌비율(IFRS연결),[제조]현금비율(IFRS연결),[제조]부채비율(IFRS연결),[제조]유동부채비율(IFRS연결),[제조]차입금비율(IFRS연결),[제조]이자보상배율(이자비용)(IFRS연결),[제조]유보액대비율(IFRS연결),[제조]유보액 대 납입자본배율(IFRS연결),[제조]투자집중도(IFRS연결)
(주)MH에탄올,023150,2017/12,388.83,44.64,41.69,7.8,368.17,177.74,237.29,3.46,21.15,23.01,921.59
(주)MH에탄올,023150,2018/12,448.33,20.96,16.33,4.89,380.62,154.04,239.34,0.1,20.81,19.93,583.76
(주)MH에탄올,023150,2019/12,527.35,11.62,8.73,3.21,468.69,355.65,302.7,0.73,17.87,17.55,543.48
(주)MH에탄올,023150,2020/12,512.21,25.82,20.1,8.54,459.13,181.71,297.81,1.29,18.17,17.78,460.82
(주)MH에탄올,023150,2021/12,471.51,17.51,14.42,8.94,432.99,351.03,278.96,1.92,19.05,18.71,432.68
(주)SH에너지화학,002360,2011/12,83.31,147.77,115.16,15.37,60.5,52.23,44.61,2.82,9.8,0.18,53.82
(주)SH에너지화학,002360,2012/12,81.97,171.22,123.05,7.42,59.82,45.47,44.03,1.72,9.54,0.18,47.92
(주)SH에너지화학,002360,2013/12,73.9,168.09,134.09,15.75,58.75,50.48,40.2,5.3,13.23,0.26,43.5
(주)SH에너지화학,002360,2014/12,59.85,291.69,224.49,37.69,31.46,24.55,11.36,26.68,26.41,0.52,44.09
(주)SH에너지화학,002360,2015/12,51.62,399.36,329.69,115.03,26.05,18.64,7.51,84.87,31.74,0.66,49.25
(주)SH에너지화학,002360,2016/12,38.68,673.11,580.63,211.38,19.6,12.02,3.42,210.93,39.44,0.88,55.22
(주)SH에너지화학,002360,2017/12,35.02,1057.37,816.13,399.76,16.36,7.69,3.3,162.17,42.06,0.95,64.78
(주)SH에너지화학,002360,2018/12,34.8,1287.95,953.73,441.48,16.17,6.32,3.32,22.72,41.23,0.91,64.87
(주)SH에너지화학,002360,2019/12,40.26,1110.48,887.83,542.25,24.66,7.6,8.85,-24.12,35.98,0.8,83.66
(주)SH에너지화학,002360,2020/12,49.89,979.37,849.69,445.74,30.38,8.22,12.55,-38.65,30.69,0.65,112.84
(주)SH에너지화학,002360,2021/12,45.09,599.23,504.85,149.24,30.4,14.24,12.06,1.72,31.59,0.68,81.99
(주)SIMPAC,009160,2011/12,93.52,130.69,108.07,54.55,84.02,69.24,25.78,20.93,50.3,10.75,104.87
(주)SIMPAC,009160,2012/12,88.31,140.97,117.58,22.15,69.63,57.68,21.47,15.51,55,12.05,101.18
(주)SIMPAC,009160,2013/12,121.32,81.19,62.03,7.16,73.34,64.07,31.76,16.58,54.21,13.49,126.26
(주)SIMPAC,009160,2014/12,108.2,105.96,76.17,19.44,74.3,62.39,18.64,8.48,54.08,14.2,119.34
(주)SIMPAC,009160,2015/12,107.21,102.82,69.62,14.76,82.25,72.98,22.93,14.66,51.88,15.09,131.52
(주)SIMPAC,009160,2016/12,100.28,113.8,84.21,33.41,73.81,64.61,22.8,16.75,55.19,15.86,133.5
(주)SIMPAC,009160,2017/12,95.71,115.32,85.28,23.55,58.27,54.25,22.93,10.1,62.71,16.44,140.62
(주)SIMPAC,009160,2018/12,85.28,135.98,87.82,49.22,56.71,52.53,26.07,4.07,61.31,12.78,218.92
(주)SIMPAC,009160,2019/12,88.38,131.76,91.59,58.26,53.93,49.75,29.19,3.47,62.45,12.97,127.73
(주)SIMPAC,009160,2020/12,82.77,141.82,88.93,49.68,58.9,53.68,31.19,2.64,61.66,13.9,160.02
(주)SIMPAC,009160,2021/12,66.04,163.62,112.22,65.94,65.23,60.62,32.81,29.83,60.04,16.58,124.81
(주)SNT에너지,100840,2011/12,,,,,,,,,,,
(주)SNT에너지,100840,2012/12,,,,,,,,,,,
(주)SNT에너지,100840,2013/12,,,,,,,,,,,
(주)SNT에너지,100840,2014/12,,,,,,,,,,,
(주)SNT에너지,100840,2015/12,,,,,,,,,,,
(주)SNT에너지,100840,2016/12,,,,,,,,,,,
(주)SNT에너지,100840,2017/12,,,,,,,,,,,
(주)SNT에너지,100840,2018/12,,,,,,,,,,,
(주)SNT에너지,100840,2019/12,52.63,303.82,288.69,31.18,36.31,27.54,0.03,1771.27,73.64,65.51,154.8
(주)SNT에너지,100840,2020/12,55.82,251.91,244.37,83.83,42.24,34.3,0.3,432.67,73.55,65.71,140.12
(주)SNT에너지,100840,2021/12,54.11,301.77,297.75,134.01,35.65,27.02,0.62,212.88,76.87,68.02,192.11
(주)SNT홀딩스,036530,2011/12,82.61,174.28,128.31,39.04,62.08,45.6,6.48,16.87,61.46,170.46,121.38
(주)SNT홀딩스,036530,2012/12,81.64,184.89,132.96,35.94,57.43,40.99,5.18,20.28,63.4,171.68,120.37
(주)SNT홀딩스,036530,2013/12,78.46,188.1,133.44,48.56,56.38,41.42,5.86,30.38,63.59,178.38,132.81
(주)SNT홀딩스,036530,2014/12,77.02,208.24,148.81,50.97,50.39,35.23,2.46,34.38,66.14,176.06,125.58
(주)SNT홀딩스,036530,2015/12,67.26,263,201.03,82.77,41.85,28.36,0.49,218.55,70.16,193.02,129.51
(주)SNT홀딩스,036530,2016/12,65.64,247.45,198.81,88.69,44.37,31.82,0.47,286.46,68.93,187.73,139.31
(주)SNT홀딩스,036530,2017/12,63.09,264.63,216.54,92.09,41.26,29.54,0.43,178.66,70.44,186.3,138.42
(주)SNT홀딩스,036530,2018/12,62.92,306.08,248.36,70.44,40.62,25.39,0.43,59.79,71.05,179.84,146.07
(주)SNT홀딩스,036530,2019/12,59.67,312.26,255.6,92.67,37.56,24.95,0.08,184.05,73.01,195.54,142.41
(주)SNT홀딩스,036530,2020/12,63.59,269.15,222.26,79.06,40.37,28.53,0.11,152.96,71.78,195.13,143.34
(주)SNT홀딩스,036530,2021/12,58.7,321.8,266.35,85.12,33.27,23.17,0.16,215.92,75.76,215.19,151.11
(주)STX,011810,2011/12,198.53,70.06,54.61,11.42,173.19,106.57,132.78,1.66,34.05,11.88,49.88
(주)STX,011810,2012/12,237.8,62.81,55.08,12.95,236.31,156.85,187.1,-3.12,27.22,9.13,48.94
(주)STX,011810,2014/12,385.85,113.3,86.97,14.11,1239.93,842.07,951.28,0.76,1.51,0.25,64.04
(주)STX,011810,2015/12,504.69,104.09,67.59,8.89,1651.71,1198.04,1246.41,-0.84,-0.19,-0.03,67.99
(주)STX,011810,2016/12,0,49.89,26.7,4.89,0,0,0,-0.91,-63.44,-3.79,35.88
(주)STX,011810,2017/12,356.57,85.88,53.1,17.24,1374.49,1301.65,818.95,2.02,-0.8,-0.11,30.91
(주)STX,011810,2018/12,204.91,91.21,63.3,9.55,765.34,724.06,517.79,-1.12,2.7,0.3,34.57
(주)STX,011810,2019/12,308.59,87.86,60.85,9.1,895.02,781.31,590.05,0.11,1.29,0.15,34.25
(주)STX,011810,2020/12,364.19,69.81,47.55,5.7,655.62,560.72,443.81,-0.04,5.29,0.66,59.91
(주)STX,011810,2021/12,252.93,81.68,56.73,4.37,451.82,365.94,286.28,0.88,7.58,0.72,67.95
(주)TCC스틸,002710,2011/12,120.14,110.8,62.71,3.21,101.53,73.45,63.59,1.41,47.32,13.44,52.85
