회사명,거래소코드,회계년도,상장일,[제조]자산(*)(IFRS연결),[제조]당기순이익(손실)(IFRS),[제조]      미처분이익잉여금(결손금)(IFRS)
(주)SNT에너지,100840,2018/12,2008/02/22,,1825479,185324177
(주)SNT에너지,100840,2019/12,2008/02/22,333897235,14578960,199840308
(주)SNT에너지,100840,2020/12,2008/02/22,335351657,9407217,200789971
(주)SNT에너지,100840,2021/12,2008/02/22,332143488,12937903,208603028
(주)SNT홀딩스,036530,2011/12,2002/10/22,2124828265,5766277,275025622
(주)SNT홀딩스,036530,2012/12,2002/10/22,2074903906,9011145,277571231
(주)SNT홀딩스,036530,2013/12,2002/10/22,2149176237,8018313,279666869
(주)SNT홀딩스,036530,2014/12,2002/10/22,2039388864,6891599,282298007
(주)SNT홀딩스,036530,2015/12,2002/10/22,2169311305,27765789,306862777
(주)SNT홀딩스,036530,2016/12,2002/10/22,2210178425,6923176,309610694
(주)SNT홀딩스,036530,2017/12,2002/10/22,2146174938,4172419,308140653
(주)SNT홀딩스,036530,2018/12,2002/10/22,2113834573,6218079,312019491
(주)SNT홀딩스,036530,2019/12,2002/10/22,2236679025,9244252,314837915
(주)SNT홀딩스,036530,2020/12,2002/10/22,2270485740,22951239,326508597
(주)SNT홀딩스,036530,2021/12,2002/10/22,2372324440,16540428,332804926
(주)STX,011810,2011/12,1990/09/12,5234175000,84657000,463681000
(주)STX,011810,2012/12,1990/09/12,5067029000,-23863000,419149000
(주)STX,011810,2014/12,1990/09/12,1255002000,334488000,-900407000
(주)STX,011810,2015/12,1990/09/12,1267224000,-53449000,-28572000
(주)STX,011810,2016/12,1990/09/12,707709000,-456150000,-457165000
(주)STX,011810,2017/12,1990/09/12,627542000,336179000,-120813000
(주)STX,011810,2018/12,1990/09/12,554061000,5024000,6707000
(주)STX,011810,2019/12,1990/09/12,560107000,-37142000,-31193000
(주)STX,011810,2020/12,1990/09/12,617563000,-16578000,-48871000
(주)STX,011810,2021/12,1990/09/12,676149000,-16136000,-55270000
(주)TCC스틸,002710,2011/12,1984/12/21,454329510,6828699,93514778
(주)TCC스틸,002710,2012/12,1984/12/21,547013976,4206491,90417704
(주)TCC스틸,002710,2013/12,1984/12/21,543708595,391783,86998887
(주)TCC스틸,002710,2014/12,1984/12/21,551000563,1022624,84187438
(주)TCC스틸,002710,2015/12,1984/12/21,376394571,-140083396,-59090759
(주)TCC스틸,002710,2016/12,1984/12/21,282914735,15468493,-43519120
(주)TCC스틸,002710,2017/12,1984/12/21,278692540,-2328706,-248707
(주)TCC스틸,002710,2018/12,1984/12/21,304781579,7565000,7162997
(주)TCC스틸,002710,2019/12,1984/12/21,314210087,1996130,6117411
(주)TCC스틸,002710,2020/12,1984/12/21,306758932,-3176050,4319350
(주)TCC스틸,002710,2021/12,1984/12/21,366996615,28951451,31657351
(주)가비아,079940,2011/12,2005/10/19,64954440,3262397,18784977
(주)가비아,079940,2012/12,2005/10/19,85244515,5737877,24119089
(주)가비아,079940,2013/12,2005/10/19,91231294,3786937,27623648
(주)가비아,079940,2014/12,2005/10/19,98544072,3076978,30418249
(주)가비아,079940,2015/12,2005/10/19,105081568,4288423,34419894
(주)가비아,079940,2016/12,2005/10/19,125796754,3544032,37533762
(주)가비아,079940,2017/12,2005/10/19,133382584,2493743,39597339
(주)가비아,079940,2018/12,2005/10/19,151440505,2762732,41929905
(주)가비아,079940,2019/12,2005/10/19,199916131,4654769,46154509
(주)가비아,079940,2020/12,2005/10/19,260025259,4758214,50319793
(주)가비아,079940,2021/12,2005/10/19,302957884,4413118,53905964
(주)강스템바이오텍,217730,2015/12,2015/12/21,,-5754141,-16105881
(주)강스템바이오텍,217730,2016/12,2015/12/21,,-8300375,-24406256
(주)강스템바이오텍,217730,2017/12,2015/12/21,47198979,-10855842,-35262098
(주)강스템바이오텍,217730,2018/12,2015/12/21,73194018,-13500909,-51691066
(주)강스템바이오텍,217730,2019/12,2015/12/21,113643697,-25001590,-76692655
(주)강스템바이오텍,217730,2020/12,2015/12/21,82505287,-19492205,-96184860
(주)강스템바이오텍,217730,2021/12,2015/12/21,103147836,-20437353,-116622214
(주)강원랜드,035250,2011/12,2003/09/04,2711401782,393401121,395554101
(주)강원랜드,035250,2012/12,2003/09/04,2906655321,296503993,296350104
(주)강원랜드,035250,2013/12,2003/09/04,3102036846,293129468,295084779
(주)강원랜드,035250,2014/12,2003/09/04,3375127289,363815729,338491945
(주)강원랜드,035250,2015/12,2003/09/04,3690791830,430459518,454631838
(주)강원랜드,035250,2016/12,2003/09/04,3978987574,454998593,454927563
(주)강원랜드,035250,2017/12,2003/09/04,4185657487,437096330,448979156
(주)강원랜드,035250,2018/12,2003/09/04,4231241354,297320114,286642034
(주)강원랜드,035250,2019/12,2003/09/04,4438119306,335609508,314622501
(주)강원랜드,035250,2020/12,2003/09/04,3641632201,-278763195,-291066525
(주)강원랜드,035250,2021/12,2003/09/04,3827273464,-11910505,4543106
(주)강원에너지,114190,2011/11,2009/11/20,,5754715,11471752
(주)강원에너지,114190,2011/12,2009/11/20,,921016,12392768
(주)강원에너지,114190,2012/12,2009/11/20,,8974549,19679406
(주)강원에너지,114190,2013/12,2009/11/20,,3922208,22404938
(주)강원에너지,114190,2014/12,2009/11/20,,1123194,22410127
(주)강원에너지,114190,2015/12,2009/11/20,85457457,885783,23295910
(주)강원에너지,114190,2016/12,2009/11/20,77186606,-762058,22533853
(주)강원에너지,114190,2017/12,2009/11/20,93179394,-6291307,16242546
(주)강원에너지,114190,2018/12,2009/11/20,93845576,1977524,19001437
(주)강원에너지,114190,2019/12,2009/11/20,56602063,-33460765,-14921064
(주)강원에너지,114190,2020/12,2009/11/20,32968636,-14039206,-21217083
(주)강원에너지,114190,2021/12,2009/11/20,,5795694,-15817837
(주)갤럭시아에스엠,011420,2011/12,1989/11/14,45110356,3000743,-1919048
(주)갤럭시아에스엠,011420,2012/12,1989/11/14,43979072,223810,-1695238
(주)갤럭시아에스엠,011420,2013/12,1989/11/14,37636664,-1420345,-3115583
(주)갤럭시아에스엠,011420,2014/12,1989/11/14,45274078,-931106,-4046690
(주)갤럭시아에스엠,011420,2015/12,1989/11/14,68686992,2575902,-1470788
(주)갤럭시아에스엠,011420,2016/12,1989/11/14,58444606,-1562620,-4050954
(주)갤럭시아에스엠,011420,2017/12,1989/11/14,49831109,-5899738,-9950692
(주)갤럭시아에스엠,011420,2018/12,1989/11/14,33253331,-15678085,-25628777
(주)갤럭시아에스엠,011420,2019/12,1989/11/14,28241598,-1375316,-27004093
(주)갤럭시아에스엠,011420,2020/12,1989/11/14,,983909,-26020185
(주)갤럭시아에스엠,011420,2021/12,1989/11/14,,3681735,-22338449
(주)경농,002100,2011/12,1977/06/30,173774102,3154155,1728371
