,상장협 산업분류 코드(대분류),회계년도,산업매출성장률
0,10000,2011,0.0
1,20000,2011,0.0
2,30000,2011,0.0
3,40000,2011,0.0
4,60000,2011,0.0
5,70000,2011,0.0
6,80000,2011,0.0
7,90000,2011,0.0
8,100000,2011,0.0
9,120000,2011,0.0
10,130000,2011,0.0
11,140000,2011,0.0
12,160000,2011,0.0
13,180000,2011,0.0
14,190000,2011,0.0
15,10000,2012,13.74878079752282
16,20000,2012,-97.03734812928892
17,30000,2012,3.5888750355403065
18,40000,2012,15.545225584683052
19,60000,2012,2.537390229919767
20,70000,2012,3.0298147481134574
21,80000,2012,7.668063200817388
22,90000,2012,3.821256504343329
23,100000,2012,2.267859127295857
24,120000,2012,11.781493826592415
25,130000,2012,7.824351991477396
26,140000,2012,25.058953378344118
27,160000,2012,-3.480513394714413
28,180000,2012,2.8482636408043716
29,190000,2012,5.670913814244738
30,10000,2013,-11.350557207950885
31,20000,2013,-41.652865202757226
32,30000,2013,1.1353011798427293
33,40000,2013,8.16073736719014
34,60000,2013,-4.482789140837806
35,70000,2013,-1.8950846294166435
36,80000,2013,-3.784956895396996
37,90000,2013,2.9451418914188565
38,100000,2013,2.454883359973792
39,120000,2013,161.74120492269307
40,130000,2013,-1.3958371297931982
41,140000,2013,11.97558681313593
42,160000,2013,-6.306759147152052
43,180000,2013,8.822989394397673
44,190000,2013,7.023273222652104
45,10000,2014,-3.9766410083479475
46,20000,2014,21.08428456021123
47,30000,2014,-3.693666220978209
48,40000,2014,2.2905325977732316
49,60000,2014,0.14732888823729695
50,70000,2014,2.0714009825615776
51,80000,2014,-1.6543390324432528
52,90000,2014,-10.601234610045385
53,100000,2014,7.39753558568621
54,120000,2014,-58.34585772914065
55,130000,2014,-0.6580622119412682
56,140000,2014,7.381021671906307
57,160000,2014,4.192612453483502
58,180000,2014,5.842710563352194
59,190000,2014,4.132394874291689
60,10000,2015,3.564062986778449
61,20000,2015,363.3133798604021
62,30000,2015,-1.4225035113306639
63,40000,2015,-12.197911685744279
64,60000,2015,4.213461372596949
65,70000,2015,-17.540985583969928
66,80000,2015,-0.5037418996187482
67,90000,2015,32.69271151130224
68,100000,2015,-2.657485853493735
69,120000,2015,975.2366477808337
70,130000,2015,-20.374379194497006
71,140000,2015,72.19998046057468
72,160000,2015,0.8806839390067767
73,180000,2015,6.8157888931208666
74,190000,2015,7.332840959528486
75,10000,2016,22.70274859834953
76,20000,2016,18.68929741752079
77,30000,2016,-3.023700625442294
78,40000,2016,-6.470901318064404
79,60000,2016,4.866765399297757
80,70000,2016,15.773370386782414
81,80000,2016,-14.003179650044306
82,90000,2016,35.542899315891184
83,100000,2016,-0.40157453937341714
84,120000,2016,17.491941839193004
85,130000,2016,25.6258262684365
86,140000,2016,5.129646017755896
87,160000,2016,9.478444265204855
88,180000,2016,5.2137373769750806
89,190000,2016,2.000479095451091
90,10000,2017,-0.8476159981682718
91,20000,2017,14.016593636930597
92,30000,2017,9.428442469931264
93,40000,2017,0.8549485924384426
94,60000,2017,7.708965265451595
95,70000,2017,-0.5618947378913997
96,80000,2017,8.645730797609573
97,90000,2017,10.886545708078232
98,100000,2017,8.034052442480565
99,120000,2017,27.120897136004185
100,130000,2017,15.576100460244069
101,140000,2017,7.266508738606348
102,160000,2017,-0.8143794360545464
103,180000,2017,-9.574589167404346
104,190000,2017,5.260498270993286
105,10000,2018,-9.654564829337374
106,20000,2018,-22.705103751202117
107,30000,2018,3.615367523142776
108,40000,2018,5.358442802724905
109,60000,2018,-3.9326431586276134
110,70000,2018,7.804834898868429
111,80000,2018,10.156732577927595
112,90000,2018,10.608227487002718
113,100000,2018,2.562511006239321
114,120000,2018,51.48616947929521
115,130000,2018,7.635940728428481
116,140000,2018,11.468941943344223
117,160000,2018,5.84009555141527
118,180000,2018,-6.450713516207063
119,190000,2018,3.2318333104809582
120,10000,2019,-11.109451691502237
121,20000,2019,-44.15326139117733
122,30000,2019,-2.161991196712554
123,40000,2019,-2.8466687104162003
124,60000,2019,-3.6430370413679136
125,70000,2019,-1.3909772142239207
126,80000,2019,1.0640342658081448
