회사명,거래소코드,회계년도,[제조]자산(*)(IFRS연결),[제조]영업활동으로 인한 현금흐름(간접법)(*)(IFRS연결),배당금_현금,[제조]      장기차입금(*)(IFRS연결),[제조]매출액증가율(IFRS연결)
(주)SIMPAC,009160,2018/12,681750819,37360242,3632594,123750,32.74
(주)SIMPAC,009160,2019/12,679145850,37470315,3632594,68750,40.48
(주)SIMPAC,009160,2020/12,737277692,-17042761,3449178,13750,-14.93
(주)SIMPAC,009160,2021/12,903229593,63747133,11172129,0,67.55
(주)SNT에너지,100840,2011/12,,,,,
(주)SNT에너지,100840,2012/12,,,1417000,,
(주)SNT에너지,100840,2013/12,,,2125384,,
(주)SNT에너지,100840,2014/12,,,3542306,,
(주)SNT에너지,100840,2015/12,,,3542306,,
(주)SNT에너지,100840,2016/12,,,,,
(주)SNT에너지,100840,2017/12,,,0,,
(주)SNT에너지,100840,2018/12,,,0,,
(주)SNT에너지,100840,2019/12,333897235,-40064824,5754961,0,0
(주)SNT에너지,100840,2020/12,335351657,70341151,5394600,0,11.28
(주)SNT에너지,100840,2021/12,332143488,29859821,5186424,0,0
(주)SNT홀딩스,036530,2011/12,2124828265,86981830,5883000,627000,10.91
(주)SNT홀딩스,036530,2012/12,2074903906,57310654,5811000,1230693,0.29
(주)SNT홀딩스,036530,2013/12,2149176237,94174241,4260462,741141,-5.54
(주)SNT홀딩스,036530,2014/12,2039388864,95278602,2977692,496019,-1.52
(주)SNT홀딩스,036530,2015/12,2169311305,120263344,3833581,241477,3.89
(주)SNT홀딩스,036530,2016/12,2210178425,143865685,5527452,0,-4.65
(주)SNT홀딩스,036530,2017/12,2146174938,104208804,3158544,0,-1.92
(주)SNT홀딩스,036530,2018/12,2113834573,128942884,6307383,0,-7.08
(주)SNT홀딩스,036530,2019/12,2236679025,89185851,7577903,0,7.91
(주)SNT홀딩스,036530,2020/12,2270485740,261292399,9608855,0,-5.05
(주)SNT홀딩스,036530,2021/12,2372324440,90010420,10121764,0,0
(주)STX,011810,2011/12,5234175000,55801000,14671000,453951000,47.5
(주)STX,011810,2011/12,5234175000,55801000,0,453951000,47.5
(주)STX,011810,2012/12,5067029000,250636000,0,523076000,3.22
(주)STX,011810,2012/12,5067029000,250636000,7300000,523076000,3.22
(주)STX,011810,2014/12,1255002000,-76097000,,214556000,-33.27
(주)STX,011810,2015/12,1267224000,-15950000,,165235000,-0.23
(주)STX,011810,2016/12,707709000,57833000,,30940000,5.48
(주)STX,011810,2017/12,627542000,100295000,,19343000,4.87
(주)STX,011810,2018/12,554061000,-48114000,,22595000,-16.68
