회사명,거래소코드,회계년도,[제조]매출액순이익률(IFRS연결),[제조]총자본순이익률(IFRS연결),[제조]자기자본순이익률(IFRS연결),[제조]매출원가 대 매출액비율(IFRS연결),[제조]광고선전비 대 매출액비율(IFRS연결),[제조]유보율(IFRS연결)
(주)SIMPAC,009160,2018/12,22.6,13.02,20.48,88.84,0.11,1277.69
(주)SIMPAC,009160,2019/12,2.21,1.39,2.17,89.59,0.07,1296.53
(주)SIMPAC,009160,2020/12,9.33,4.82,7.54,89.7,0.05,1389.64
(주)SIMPAC,009160,2021/12,14.82,11.07,17.98,73.99,0.02,1657.62
(주)SNT에너지,100840,2011/12,,,,,,
(주)SNT에너지,100840,2012/12,,,,,,
(주)SNT에너지,100840,2013/12,,,,,,
(주)SNT에너지,100840,2014/12,,,,,,
(주)SNT에너지,100840,2015/12,,,,,,
(주)SNT에너지,100840,2016/12,,,,,,
(주)SNT에너지,100840,2017/12,,,,,,
(주)SNT에너지,100840,2018/12,,,,,,
(주)SNT에너지,100840,2019/12,7.24,4.63,6.31,83.27,0.02,6551.09
(주)SNT에너지,100840,2020/12,4.12,2.92,4.07,83.11,0.02,6571.17
(주)SNT에너지,100840,2021/12,7.31,3.76,5.11,83.21,0.04,6802.3
(주)SNT홀딩스,036530,2011/12,5.24,4.19,6.88,87.11,0.17,6053.63
(주)SNT홀딩스,036530,2012/12,3.79,3.01,5.6,87.8,0.18,6539.94
(주)SNT홀딩스,036530,2013/12,3.41,2.55,4.41,87.49,0.18,6793.14
(주)SNT홀딩스,036530,2014/12,4.32,3.2,5.51,88.9,0.08,7118.65
(주)SNT홀딩스,036530,2015/12,7.22,5.53,5.75,82.55,0.06,7370.38
(주)SNT홀딩스,036530,2016/12,0.66,0.46,0.47,86.92,0.06,7190.35
(주)SNT홀딩스,036530,2017/12,1.71,1.19,1.14,86.42,0.07,7297.38
(주)SNT홀딩스,036530,2018/12,5.26,3.46,4.36,87.14,0.09,7869.89
(주)SNT홀딩스,036530,2019/12,8.23,5.72,8.78,84.93,0.11,9259.26
(주)SNT홀딩스,036530,2020/12,5.42,3.46,4.62,85.47,0.1,10362.75
(주)SNT홀딩스,036530,2021/12,10.81,6.4,8.13,84.79,0.15,11581.69
(주)STX,011810,2011/12,3.73,3.93,14.56,92.43,0.31,1050.65
(주)STX,011810,2012/12,-7.97,-9.53,-35.59,103.15,0.17,655.36
(주)STX,011810,2014/12,23.28,29.3,0,92.58,0.01,25.29
(주)STX,011810,2015/12,-3,-3.88,-59.01,97.26,0.02,-3.22
(주)STX,011810,2016/12,-26.59,-46.33,0,95.07,0,-378.97
(주)STX,011810,2017/12,18.54,50.09,0,95.27,0.01,-10.51
(주)STX,011810,2018/12,0.61,1.54,17.12,98.67,0.01,29.93
(주)STX,011810,2019/12,-2.26,-5.96,-54.53,96.84,0.01,15.08
(주)STX,011810,2020/12,-2.1,-3.47,-48.03,95.86,0,-42.26
(주)STX,011810,2021/12,-2.52,-3.6,-32.13,94.02,0.01,-6.2
(주)TCC스틸,002710,2011/12,0.89,1.05,2.02,91.81,0.02,1343.62
(주)TCC스틸,002710,2012/12,0.02,0.02,0.07,91.34,0.05,1254.33
(주)TCC스틸,002710,2013/12,-3.98,-3.66,-8.85,94.66,0.03,1064.71
(주)TCC스틸,002710,2014/12,-3.05,-2.89,-7.71,93.18,0.03,917.69
(주)TCC스틸,002710,2015/12,-22.23,-23.77,-80.07,91.15,0,307.68
(주)TCC스틸,002710,2016/12,3.81,5.14,17.99,90.65,0,385.32
(주)TCC스틸,002710,2017/12,0.38,0.54,1.5,91.21,0,374.6
(주)TCC스틸,002710,2018/12,2.36,3.34,9.19,91.46,0,419.24
(주)TCC스틸,002710,2019/12,1.15,1.63,4.42,92.78,0.01,439.86
(주)TCC스틸,002710,2020/12,-0.39,-0.54,-1.3,95.26,0,415.07
(주)TCC스틸,002710,2021/12,5.35,8.53,21.49,90.89,0.01,547.46
(주)가비아,079940,2011/12,13.28,11.9,18.06,55.21,2.1,351.5
(주)가비아,079940,2012/12,13.64,12.54,21.3,58.36,1.07,447.19
(주)가비아,079940,2013/12,13.45,10.77,15.65,55.02,0.94,534.07
(주)가비아,079940,2014/12,8.4,7.12,8.18,56.29,1.02,582.67
(주)가비아,079940,2015/12,9.31,8.38,11.99,54.64,0.89,664.04
(주)가비아,079940,2016/12,9.96,8.82,10.68,53.83,0.73,699.68
(주)가비아,079940,2017/12,8.32,7.46,8.88,51.9,1.64,745.49
(주)가비아,079940,2018/12,11.92,10.77,12.58,51.08,1.21,853.3
(주)가비아,079940,2019/12,14.23,12.01,15.73,51.01,0.97,1007.26
(주)가비아,079940,2020/12,14.05,10.33,14.99,50.8,0.94,1231
(주)가비아,079940,2021/12,12.47,8.88,12.4,50.84,1.05,1418.28
(주)강스템바이오텍,217730,2015/12,,,,,,
(주)강스템바이오텍,217730,2016/12,,,,,,
(주)강스템바이오텍,217730,2017/12,-126.27,-24.43,-46.19,64.32,5.25,202.13
(주)강스템바이오텍,217730,2018/12,-155.96,-23.75,-37.79,87.16,4.57,358.01
(주)강스템바이오텍,217730,2019/12,-439.57,-28.25,-41.61,107.07,14.3,487.15
(주)강스템바이오텍,217730,2020/12,-216.09,-20.13,-30.2,88.56,0.88,306.83
(주)강스템바이오텍,217730,2021/12,-175.96,-23.51,-35.67,78.32,4.75,258.23
(주)강원랜드,035250,2011/12,30.12,14.33,17.5,42.54,1.41,2166.21
(주)강원랜드,035250,2012/12,23.63,10.9,13.23,49.98,1.59,2280.19
(주)강원랜드,035250,2013/12,21.86,9.91,12.17,53.34,1.4,2416.09
(주)강원랜드,035250,2014/12,24.01,11.1,13.76,48.26,0.89,2591.54
(주)강원랜드,035250,2015/12,27.03,12.5,15.49,46.5,0.61,2864.9
(주)강원랜드,035250,2016/12,26.79,11.85,14.55,46.28,0.88,3103.31
(주)강원랜드,035250,2017/12,27.27,10.72,12.96,49.08,0.84,3335.69
(주)강원랜드,035250,2018/12,20.67,7.06,8.39,50.73,2.09,3415.74
(주)강원랜드,035250,2019/12,22.02,7.72,9.16,48.46,1.1,3538.18
(주)강원랜드,035250,2020/12,-57.65,-6.83,-7.92,113.77,1.85,3098.14
(주)강원랜드,035250,2021/12,-1.34,-0.28,-0.33,92.18,0.83,3103.54
(주)강원에너지,114190,2011/11,,,,,,
(주)강원에너지,114190,2011/12,,,,,,
(주)강원에너지,114190,2012/12,,,,,,
(주)강원에너지,114190,2013/12,,,,,,
(주)강원에너지,114190,2014/12,,,,,,
(주)강원에너지,114190,2015/12,0.22,0.12,0.18,82.85,0.07,609.27
(주)강원에너지,114190,2016/12,-2.66,-1.38,-1.99,83.41,0.08,590.5
