회사명,거래소코드,회계년도,[제조]자산(*)(IFRS),[제조]영업활동으로 인한 현금흐름(간접법)(*)(IFRS),배당금_현금,[제조]      장기차입금(*)(IFRS),[제조]매출액증가율(IFRS)
(주)SIMPAC,009160,2018/12,628334175,36290248,3632594,0,32.35
(주)SIMPAC,009160,2019/12,608693104,45146571,3632594,0,45.79
(주)SIMPAC,009160,2020/12,656622388,433907,3449178,0,-30.58
(주)SIMPAC,009160,2021/12,796759604,45876785,11172129,0,80.4
(주)SNT에너지,100840,2011/12,276511841,-17274075,,0,-8.7
(주)SNT에너지,100840,2012/12,292802033,26635237,1417000,0,18.12
(주)SNT에너지,100840,2013/12,311675279,20128884,2125384,0,-12.98
(주)SNT에너지,100840,2014/12,304511816,-24774316,3542306,0,20.92
(주)SNT에너지,100840,2015/12,316196096,2204846,3542306,0,7.15
(주)SNT에너지,100840,2016/12,348042346,35017765,,0,-2.31
(주)SNT에너지,100840,2017/12,300266693,-5579426,0,0,-27.55
(주)SNT에너지,100840,2018/12,280991534,14435813,0,0,-24.21
(주)SNT에너지,100840,2019/12,331391237,-40057737,5754961,0,45.38
(주)SNT에너지,100840,2020/12,332066179,66428615,5394600,0,13.4
(주)SNT에너지,100840,2021/12,322124195,27963345,5186424,0,-28.06
(주)SNT홀딩스,036530,2011/12,388123974,9351556,5883000,0,9.15
(주)SNT홀딩스,036530,2012/12,388964716,8670824,5811000,0,286.13
(주)SNT홀딩스,036530,2013/12,397336142,7969284,4260462,0,1.24
(주)SNT홀딩스,036530,2014/12,399244416,6847661,2977692,0,-12.74
(주)SNT홀딩스,036530,2015/12,430584006,7958287,3833581,0,10.04
(주)SNT홀딩스,036530,2016/12,427001710,761622,5527452,0,15.85
(주)SNT홀딩스,036530,2017/12,425435423,6184231,3158544,0,-24.45
(주)SNT홀딩스,036530,2018/12,422804813,6691516,6307383,0,-1.7
(주)SNT홀딩스,036530,2019/12,417172874,10098608,7577903,0,51.07
(주)SNT홀딩스,036530,2020/12,423961201,22924890,9608855,0,129.76
(주)SNT홀딩스,036530,2021/12,425705145,16763142,10121764,0,-25.34
(주)STX,011810,2011/12,3302248000,-108220000,14671000,115350000,30.76
(주)STX,011810,2011/12,3302248000,-108220000,0,115350000,30.76
(주)STX,011810,2012/12,3226878000,159192000,0,97993000,-1.36
(주)STX,011810,2012/12,3226878000,159192000,7300000,97993000,-1.36
