,배당금_현금,당기순이익(손실),배당성향,회사명,회계년도
83,1706906.0,7565000.0,22.563198942498346,(주)TCC스틸,2018
84,640090.0,1996130.0,32.06654877187358,(주)TCC스틸,2019
85,340407.0,-3176050.0,-10.717935800758804,(주)TCC스틸,2020
86,3479073.0,28951451.0,12.016921017188396,(주)TCC스틸,2021
87,367000.0,3262397.0,11.24939729897986,(주)가비아,2011
88,257000.0,5737877.0,4.4790085252786005,(주)가비아,2012
89,256706.0,3786937.0,6.778723807657745,(주)가비아,2013
90,260706.0,3076978.0,8.472793760631372,(주)가비아,2014
91,391060.0,4288423.0,9.118969840428521,(주)가비아,2015
92,391060.0,3544032.0,11.034324746503417,(주)가비아,2016
93,391060.0,2493743.0,15.681648028686196,(주)가비아,2017
94,391060.0,2762732.0,14.15482935007811,(주)가비아,2018
95,521413.0,4654769.0,11.201694434245823,(주)가비아,2019
96,782119.0,4758214.0,16.437238846340243,(주)가비아,2020
97,921131.0,4413118.0,20.872566743060123,(주)가비아,2021
98,184734000.0,393401121.0,46.95817834235403,(주)강원랜드,2011
99,153068000.0,296503993.0,51.62426261153252,(주)강원랜드,2012
100,147999469.0,293129468.0,50.48945437310998,(주)강원랜드,2013
101,172328148.0,363815729.0,47.36687676304396,(주)강원랜드,2014
102,198684218.0,430459518.0,46.15630731622015,(주)강원랜드,2015
103,200711608.0,454998593.0,44.11257772834475,(주)강원랜드,2016
104,200711608.0,437096330.0,45.91930753570958,(주)강원랜드,2017
105,182465098.0,297320114.0,61.36991391036531,(주)강원랜드,2018
106,182465098.0,335609508.0,54.36827433387257,(주)강원랜드,2019
107,0.0,-278763195.0,0.0,(주)강원랜드,2020
108,0.0,-11910505.0,0.0,(주)강원랜드,2021
109,761000.0,921016.0,82.62614330261363,(주)강원에너지,2011
110,633341.0,8974549.0,7.057078857110256,(주)강원에너지,2012
111,380000.0,3922208.0,9.688420399937995,(주)강원에너지,2013
112,0.0,1123194.0,0.0,(주)강원에너지,2014
113,0.0,885783.0,0.0,(주)강원에너지,2015
114,0.0,-762058.0,0.0,(주)강원에너지,2016
115,0.0,-6291307.0,0.0,(주)강원에너지,2017
116,0.0,1977524.0,0.0,(주)강원에너지,2018
117,0.0,-33460765.0,0.0,(주)강원에너지,2019
118,0.0,-14039206.0,0.0,(주)강원에너지,2020
119,0.0,5795694.0,0.0,(주)강원에너지,2021
120,3197000.0,3154155.0,101.35836697942872,(주)경농,2011
121,2593000.0,6590012.0,39.347424557041776,(주)경농,2012
122,3457632.0,13751960.0,25.142830549245343,(주)경농,2013
123,3840658.0,9271741.0,41.42326667666838,(주)경농,2014
124,4287516.0,6488880.0,66.07482339016903,(주)경농,2015
125,4734132.0,5770891.0,82.03468060651294,(주)경농,2016
126,5270072.0,11539079.0,45.67151329841836,(주)경농,2017
127,4466162.0,9613575.0,46.4568279750249,(주)경농,2018
128,3930223.0,7061857.0,55.65424221985803,(주)경농,2019
129,4466162.0,10459504.0,42.69955821996913,(주)경농,2020
130,6252628.0,24475008.0,25.546990628154237,(주)경농,2021
131,1247000.0,9445090.0,13.20262697337982,(주)경동나비엔,2011
132,1262000.0,9214927.0,13.695170889579483,(주)경동나비엔,2012
133,1262385.0,9251575.0,13.64508205359628,(주)경동나비엔,2013
134,1262385.0,9082312.0,13.899379365077966,(주)경동나비엔,2014
135,1262385.0,19320742.0,6.5338329138704925,(주)경동나비엔,2015
136,1893578.0,28636194.0,6.612533774565153,(주)경동나비엔,2016
137,2524770.0,16291264.0,15.497692505627555,(주)경동나비엔,2017
138,3155962.0,22818064.0,13.83098057749334,(주)경동나비엔,2018
139,3787155.0,20474157.0,18.49724508803952,(주)경동나비엔,2019
140,4721174.0,18888348.0,24.995166332174733,(주)경동나비엔,2020
141,6503819.0,62278873.0,10.443058274352524,(주)경동나비엔,2021
142,4124203.0,33981432.0,12.136636855091922,(주)경동도시가스,2018
143,5154124.0,24355132.0,21.162373498940592,(주)경동도시가스,2019
144,5154124.0,18813524.0,27.395845669317453,(주)경동도시가스,2020
145,5154124.0,22198050.0,23.218814265216988,(주)경동도시가스,2021
146,3832000.0,50053289.0,7.655840558249828,(주)경동인베스트,2011
147,4355000.0,56917580.0,7.651414554167622,(주)경동인베스트,2012
148,4354986.0,46253877.0,9.41539668123388,(주)경동인베스트,2013
149,4354986.0,44839494.0,9.712388815092337,(주)경동인베스트,2014
150,4354986.0,-6095609.0,-71.44464154442977,(주)경동인베스트,2015
151,4150078.0,16356641.0,25.372434352505508,(주)경동인베스트,2016
152,1136564.0,7248447.0,15.680103613918952,(주)경동인베스트,2017
153,1136564.0,1574966.0,72.16435148441299,(주)경동인베스트,2018
154,1129116.0,-917643.0,-123.04523654623858,(주)경동인베스트,2019
155,1090176.0,1309750.0,83.23542660813132,(주)경동인베스트,2020
156,1635264.0,357360.0,457.5957018132975,(주)경동인베스트,2021
157,0.0,-1822388.0,0.0,(주)경방,2011
158,0.0,-7074187.0,0.0,(주)경방,2012
159,623075.0,15103835.0,4.125276792284873,(주)경방,2013
160,1370764.0,14235818.0,9.628979521935445,(주)경방,2014
161,3426909.0,21604723.0,15.861851133198975,(주)경방,2015
162,4934749.0,30977743.0,15.929982374765006,(주)경방,2016
163,4934749.0,25679379.0,19.216777010067105,(주)경방,2017
164,3371475.0,29198252.0,11.546838488824605,(주)경방,2018
165,3301909.0,22223943.0,14.857440014132505,(주)경방,2019
166,3251909.0,26011323.0,12.501897731230358,(주)경방,2020
167,3130605.0,23305944.0,13.432646195322532,(주)경방,2021
168,6574386.0,26109623.0,25.179934616443905,(주)경보제약,2015
169,4781372.0,12705930.0,37.63102740216576,(주)경보제약,2016
170,5976715.0,17963310.0,33.27179122333245,(주)경보제약,2017
171,4781372.0,13116049.0,36.454362132986844,(주)경보제약,2018
172,2390686.0,5285239.0,45.23326192060567,(주)경보제약,2019
173,2390686.0,9404446.0,25.420806286728638,(주)경보제약,2020
174,1195343.0,-7495179.0,-15.948158142720809,(주)경보제약,2021
175,1845000.0,2788642.0,66.16123546873352,(주)경인양행,2011
176,1796000.0,4475441.0,40.130123489506396,(주)경인양행,2012
177,1942820.0,12327177.0,15.760461620693855,(주)경인양행,2013
178,1951320.0,9090269.0,21.466031423272515,(주)경인양행,2014
179,1951820.0,107330.0,1818.5223143575886,(주)경인양행,2015
180,1976820.0,3724987.0,53.069178496461866,(주)경인양행,2016
181,1984320.0,531273.0,373.5028883455399,(주)경인양행,2017
182,2007820.0,7419717.0,27.060600828845626,(주)경인양행,2018
183,2034338.0,4797711.0,42.40226224547497,(주)경인양행,2019
184,2058838.0,-10222700.0,-20.139865201952517,(주)경인양행,2020
185,2073838.0,18015605.0,11.511342527769674,(주)경인양행,2021
186,1596156.0,1003761.0,159.0175350506744,(주)고려시멘트,2017
187,1119299.0,4645869.0,24.092349569047254,(주)고려시멘트,2018
188,479699.0,3396444.0,14.12356570577934,(주)고려시멘트,2019
189,479699.0,4445204.0,10.79138325260213,(주)고려시멘트,2020
190,479699.0,4638804.0,10.34100600068466,(주)고려시멘트,2021
191,1725000.0,16580579.0,10.403738011802846,(주)고영테크놀러지,2011
192,1775000.0,14836215.0,11.963967898820554,(주)고영테크놀러지,2012
193,3134472.0,14816762.0,21.15490550499495,(주)고영테크놀러지,2013
194,3988511.0,22775832.0,17.51203205222097,(주)고영테크놀러지,2014
195,3990461.0,23271756.0,17.147227738207636,(주)고영테크놀러지,2015
196,5333015.0,28063238.0,19.003562596732422,(주)고영테크놀러지,2016
197,9160000.0,28907302.0,31.687495429355533,(주)고영테크놀러지,2017
198,8787061.0,42430216.0,20.709442063646343,(주)고영테크놀러지,2018
199,7428890.0,34702997.0,21.407055995768896,(주)고영테크놀러지,2019
200,7436040.0,7447169.0,99.85056066271626,(주)고영테크놀러지,2020
201,8112044.0,38620523.0,21.004490280983507,(주)고영테크놀러지,2021
202,10035952.0,35913366.0,27.94489383144983,(주)골프존,2016
203,15053928.0,75544308.0,19.92728293970209,(주)골프존,2017
204,11604070.0,21663391.0,53.5653444098387,(주)골프존,2018
205,12858564.0,19704546.0,65.25683971607364,(주)골프존,2019
206,15681175.0,36329008.0,43.16433578368009,(주)골프존,2020
207,21953645.0,74185362.0,29.592960670596984,(주)골프존,2021
208,9443000.0,47591974.0,19.841580851426755,(주)골프존뉴딘홀딩스,2011
209,14164000.0,72099265.0,19.645137852653562,(주)골프존뉴딘홀딩스,2012
210,14739628.0,4493226.0,328.04110009156005,(주)골프존뉴딘홀딩스,2013
211,18355220.0,63571492.0,28.873350966813867,(주)골프존뉴딘홀딩스,2014
212,24800337.0,890006593.0,2.7865340768323947,(주)골프존뉴딘홀딩스,2015
213,5002827.0,-20255655.0,-24.69842125569378,(주)골프존뉴딘홀딩스,2016
214,5002827.0,-21778628.0,-22.971267978864418,(주)골프존뉴딘홀딩스,2017
215,5002827.0,-7653686.0,-65.36493658088403,(주)골프존뉴딘홀딩스,2018
216,5002827.0,-30341791.0,-16.488238944101884,(주)골프존뉴딘홀딩스,2019
217,5002827.0,27193646.0,18.397043927099734,(주)골프존뉴딘홀딩스,2020
218,5986288.0,134030981.0,4.466346478505593,(주)골프존뉴딘홀딩스,2021
219,606000.0,2583332.0,23.458076623523418,(주)광림,2011
220,0.0,586385.0,0.0,(주)광림,2012
221,0.0,1630750.0,0.0,(주)광림,2013
222,0.0,1137559.0,0.0,(주)광림,2014
223,0.0,9223597.0,0.0,(주)광림,2015
224,0.0,437352.0,0.0,(주)광림,2016
225,0.0,86196134.0,0.0,(주)광림,2017
226,0.0,-58294056.0,0.0,(주)광림,2018
227,0.0,-68290742.0,0.0,(주)광림,2019
228,0.0,-10061099.0,0.0,(주)광림,2020
229,0.0,-9718771.0,0.0,(주)광림,2021
230,0.0,-75153.0,0.0,(주)광명전기,2011
231,0.0,-1564026.0,0.0,(주)광명전기,2012
232,0.0,5301060.0,0.0,(주)광명전기,2013
233,0.0,6978508.0,0.0,(주)광명전기,2014
234,0.0,3442541.0,0.0,(주)광명전기,2015
235,0.0,15612709.0,0.0,(주)광명전기,2016
236,0.0,-1349854.0,0.0,(주)광명전기,2017
237,0.0,3182514.0,0.0,(주)광명전기,2018
238,650064.0,6470387.0,10.04675609047805,(주)광명전기,2019
239,650064.0,4892166.0,13.287856544524452,(주)광명전기,2020
240,433376.0,4589096.0,9.443602835939801,(주)광명전기,2021
241,2000000.0,52281979.0,3.825409898886957,(주)광주신세계,2011
242,2000000.0,53769536.0,3.719578312894498,(주)광주신세계,2012
243,2000000.0,48569715.0,4.117792332114776,(주)광주신세계,2013
244,2000000.0,42236355.0,4.735257102560105,(주)광주신세계,2014
245,2000000.0,45901413.0,4.357164342631457,(주)광주신세계,2015
246,2000000.0,45554028.0,4.390391119749059,(주)광주신세계,2016
247,2000000.0,47846191.0,4.180061062750011,(주)광주신세계,2017
248,4800000.0,45093180.0,10.644625196093955,(주)광주신세계,2018
249,5570033.0,47668959.0,11.684821982372217,(주)광주신세계,2019
250,5570033.0,43159504.0,12.905692799435323,(주)광주신세계,2020
251,13527223.0,52393411.0,25.81855760450489,(주)광주신세계,2021
252,0.0,985788.0,0.0,(주)구영테크,2011
253,0.0,1250176.0,0.0,(주)구영테크,2012
254,0.0,1137402.0,0.0,(주)구영테크,2013
255,0.0,1326679.0,0.0,(주)구영테크,2014
256,1837127.0,3196300.0,57.476676156806306,(주)구영테크,2015
257,0.0,3920237.0,0.0,(주)구영테크,2016
258,903894.0,1239184.0,72.94267840772638,(주)구영테크,2017
259,740336.0,3912117.0,18.924178392415154,(주)구영테크,2018
260,740336.0,1558141.0,47.514056815140606,(주)구영테크,2019
261,740336.0,901721.0,82.10255722113602,(주)구영테크,2020
262,740336.0,2852890.0,25.950387151274672,(주)구영테크,2021
263,0.0,-12930687.0,0.0,(주)국동,2011
264,0.0,262553.0,0.0,(주)국동,2012
265,0.0,2373991.0,0.0,(주)국동,2013
266,0.0,4692501.0,0.0,(주)국동,2014
267,0.0,5321778.0,0.0,(주)국동,2015
268,0.0,4379974.0,0.0,(주)국동,2016
269,0.0,-6593433.0,0.0,(주)국동,2017
270,0.0,1351547.0,0.0,(주)국동,2018
271,0.0,-6989987.0,0.0,(주)국동,2019
272,1931490.0,-891014.0,-216.77437167092774,(주)국동,2020
273,0.0,-1926513.0,0.0,(주)국동,2021
274,50000.0,-176708.0,-28.295266767775086,(주)국보,2011
275,50000.0,-1916073.0,-2.6095039176482313,(주)국보,2012
276,50365.0,-3766842.0,-1.3370616553601133,(주)국보,2013
277,50365.0,-6633427.0,-0.7592606355658998,(주)국보,2014
278,50365.0,-3679630.0,-1.3687517494965526,(주)국보,2015
279,0.0,-5034348.0,0.0,(주)국보,2016
280,0.0,-2761653.0,0.0,(주)국보,2017
281,0.0,-4038217.0,0.0,(주)국보,2018
282,0.0,-9851123.0,0.0,(주)국보,2019
283,0.0,-10080819.0,0.0,(주)국보,2020
284,0.0,-15306759.0,0.0,(주)국보,2021
285,1430000.0,6607794.0,21.641110482560443,(주)국보디자인,2011
286,1500000.0,8631842.0,17.37751918999444,(주)국보디자인,2012
287,1725000.0,9417821.0,18.31633877942679,(주)국보디자인,2013
288,1875000.0,7901285.0,23.73031728383421,(주)국보디자인,2014
289,1875000.0,6947669.0,26.98746874671203,(주)국보디자인,2015
290,1825983.0,11905078.0,15.337849949408145,(주)국보디자인,2016
291,2100000.0,14149734.0,14.841268394162038,(주)국보디자인,2017
292,1998139.0,14098992.0,14.172211743931765,(주)국보디자인,2018
293,2047227.0,9509021.0,21.529314111305464,(주)국보디자인,2019
294,2199260.0,16487759.0,13.338744216239453,(주)국보디자인,2020
295,2336713.0,17110329.0,13.656739154460443,(주)국보디자인,2021
296,1689000.0,5640710.0,29.94303908550519,(주)국순당,2011
297,1541000.0,5122888.0,30.080688861439093,(주)국순당,2012
298,770618.0,2346882.0,32.83582216745452,(주)국순당,2013
299,856303.0,1997559.0,42.867469746826,(주)국순당,2014
300,881398.0,-4854598.0,-18.155942057406197,(주)국순당,2015
301,881446.0,-2212642.0,-39.83681047363288,(주)국순당,2016
302,2997001.0,9847390.0,30.434470453592272,(주)국순당,2017
303,4583778.0,15171022.0,30.214035679336565,(주)국순당,2018
304,1682103.0,571892.0,294.12948598686467,(주)국순당,2019
305,2518475.0,15417535.0,16.335133988669394,(주)국순당,2020
306,4092521.0,16884403.0,24.238470261578097,(주)국순당,2021
307,0.0,-1752706.0,0.0,(주)국영지앤엠,2011
308,568000.0,4832440.0,11.75389658226486,(주)국영지앤엠,2012
309,0.0,953338.0,0.0,(주)국영지앤엠,2013
310,434416.0,395531.0,109.8310878287669,(주)국영지앤엠,2014
311,0.0,-533927.0,0.0,(주)국영지앤엠,2015
312,0.0,385503.0,0.0,(주)국영지앤엠,2016
313,0.0,1431624.0,0.0,(주)국영지앤엠,2017
314,0.0,-354808.0,0.0,(주)국영지앤엠,2018
315,508429.0,1089819.0,46.6526092864962,(주)국영지앤엠,2019
316,0.0,-1305459.0,0.0,(주)국영지앤엠,2020
317,0.0,-4860436.0,0.0,(주)국영지앤엠,2021
318,0.0,-3316511.0,0.0,(주)국전약품,2020
319,490692.0,4038005.0,12.151842308268563,(주)국전약품,2021
320,0.0,-4906079.0,0.0,(주)그래디언트,2011
321,1430000.0,15794035.0,9.054051102204092,(주)그래디언트,2012
322,1658000.0,-9664900.0,-17.154859336361472,(주)그래디언트,2013
323,1707039.0,625806.0,272.77447004343196,(주)그래디언트,2014
324,1707413.0,13112622.0,13.021141004445946,(주)그래디언트,2015
325,2846891.0,-40598919.0,-7.012233503064453,(주)그래디언트,2016
326,2810075.0,-54754214.0,-5.132162065188261,(주)그래디언트,2017
327,2719650.0,4404863.0,61.74198834333781,(주)그래디언트,2018
328,3630200.0,4125060.0,88.00356843294401,(주)그래디언트,2019
329,1490754.0,806283.0,184.8921532514018,(주)그래디언트,2020
330,3881896.0,-17403174.0,-22.30567826305707,(주)그래디언트,2021
331,1813269.0,6019400.0,30.123749875402865,(주)그리티,2018
332,604000.0,2627015.0,22.991874808480347,(주)그리티,2019
333,570350.0,1540065.0,37.0341511559577,(주)그리티,2020
334,0.0,-10470712.0,0.0,(주)그리티,2021
335,332750.0,2301945.0,14.455167260729512,(주)글로벌스탠다드테크놀로지,2011
336,388000.0,5403733.0,7.180221524638615,(주)글로벌스탠다드테크놀로지,2012
337,413413.0,5075966.0,8.1445186985098,(주)글로벌스탠다드테크놀로지,2013
338,609542.0,6151625.0,9.908633897547396,(주)글로벌스탠다드테크놀로지,2014
339,0.0,3910170.0,0.0,(주)글로벌스탠다드테크놀로지,2015
340,0.0,3758214.0,0.0,(주)글로벌스탠다드테크놀로지,2016
341,902574.0,13135277.0,6.871373934481929,(주)글로벌스탠다드테크놀로지,2017
342,0.0,7747618.0,0.0,(주)글로벌스탠다드테크놀로지,2018
343,1778849.0,17027156.0,10.447129279839803,(주)글로벌스탠다드테크놀로지,2019
344,1325137.0,11351753.0,11.673412908120886,(주)글로벌스탠다드테크놀로지,2020
345,2644274.0,32056676.0,8.248746688521292,(주)글로벌스탠다드테크놀로지,2021
346,1040000.0,828877.0,125.47096855142561,(주)금비,2011
347,897000.0,134171.0,668.5498356574818,(주)금비,2012
348,809500.0,-1062704.0,-76.17360996100513,(주)금비,2014
349,1214000.0,2817261.0,43.09149915467541,(주)금비,2015
350,1457000.0,6032090.0,24.15414889366704,(주)금비,2016
351,1214250.0,1457776.0,83.29468999352439,(주)금비,2017
352,1376000.0,4159383.0,33.08182968483547,(주)금비,2018
353,1376150.0,2736847.0,50.28231391816934,(주)금비,2019
354,1052350.0,-1772031.0,-59.38665858554393,(주)금비,2020
355,1295000.0,3191567.0,40.57567959563437,(주)금비,2021
356,840000.0,2436780.0,34.47172087755152,(주)금양,2011
357,1176000.0,3159937.0,37.21593183661573,(주)금양,2012
358,1512412.0,1518013.0,99.63103082779924,(주)금양,2013
359,2016549.0,2861900.0,70.46189594325448,(주)금양,2014
360,2016549.0,2338700.0,86.2252105870783,(주)금양,2015
361,0.0,-23749351.0,0.0,(주)금양,2016
362,0.0,366688.0,0.0,(주)금양,2017
363,3057050.0,16116052.0,18.96897577644947,(주)금양,2018
364,0.0,-12752836.0,0.0,(주)금양,2019
365,0.0,-4095630.0,0.0,(주)금양,2020
366,0.0,208184.0,0.0,(주)금양,2021
367,1220625.0,16768247.0,7.279383468051252,(주)금호에이치티,2015
368,976500.0,12887704.0,7.576989663946347,(주)금호에이치티,2016
369,732375.0,5433832.0,13.47805747398889,(주)금호에이치티,2017
370,0.0,7102658.0,0.0,(주)금호에이치티,2018
371,0.0,1794762.0,0.0,(주)금호에이치티,2019
372,0.0,-10619831.0,0.0,(주)금호에이치티,2020
373,0.0,-29331665.0,0.0,(주)금호에이치티,2021
374,2900000.0,15182500.0,19.100938580602666,(주)금화피에스시,2011
375,3480000.0,18485546.0,18.825519138033574,(주)금화피에스시,2012
376,5400000.0,21184156.0,25.490748840784594,(주)금화피에스시,2013
377,5400000.0,20636145.0,26.167678120114,(주)금화피에스시,2014
378,5400000.0,21704964.0,24.87910138897259,(주)금화피에스시,2015
379,5400000.0,22053825.0,24.48554842527317,(주)금화피에스시,2016
380,5400000.0,20754033.0,26.01903928744837,(주)금화피에스시,2017
381,7800000.0,38175421.0,20.43199471199021,(주)금화피에스시,2018
382,7800000.0,25283209.0,30.850514268184863,(주)금화피에스시,2019
383,7677527.0,21657835.0,35.4491896350674,(주)금화피에스시,2020
384,7677527.0,22302495.0,34.424520664616225,(주)금화피에스시,2021
385,798161.0,11073413.0,7.207904193585121,(주)기가레인,2013
386,885221.0,9064933.0,9.765334172905634,(주)기가레인,2014
387,0.0,-14035109.0,0.0,(주)기가레인,2015
388,0.0,-10793714.0,0.0,(주)기가레인,2016
389,0.0,-401780.0,0.0,(주)기가레인,2017
390,0.0,-23731827.0,0.0,(주)기가레인,2018
391,0.0,-44243046.0,0.0,(주)기가레인,2019
392,0.0,-25137989.0,0.0,(주)기가레인,2020
393,0.0,4257639.0,0.0,(주)기가레인,2021
394,0.0,-115818356.0,0.0,(주)까뮤이앤씨,2011
395,0.0,-4642070.0,0.0,(주)까뮤이앤씨,2012
396,0.0,-12045286.0,0.0,(주)까뮤이앤씨,2013
397,334230.0,2285412.0,14.624496589673985,(주)까뮤이앤씨,2014
398,561935.0,5169039.0,10.871169670029575,(주)까뮤이앤씨,2015
399,545091.0,3256253.0,16.739823349107088,(주)까뮤이앤씨,2016
400,886245.0,8436815.0,10.504497253999286,(주)까뮤이앤씨,2017
401,886245.0,1738796.0,50.968888817319566,(주)까뮤이앤씨,2018
402,1329369.0,13494869.0,9.85092185778165,(주)까뮤이앤씨,2019
403,886245.0,9202738.0,9.630231785366487,(주)까뮤이앤씨,2020
404,886245.0,-3016567.0,-29.379257944544246,(주)까뮤이앤씨,2021
405,0.0,-10306565.0,0.0,(주)나노,2015
406,0.0,-18008880.0,0.0,(주)나노,2016
407,0.0,-2829878.0,0.0,(주)나노,2017
408,476978.0,-5616504.0,-8.492435864017901,(주)나노,2018
409,0.0,475680.0,0.0,(주)나노,2019
410,0.0,-4657278.0,0.0,(주)나노,2020
411,0.0,-16406650.0,0.0,(주)나노,2021
412,0.0,4707958.0,0.0,(주)나노신소재,2011
413,0.0,-1346877.0,0.0,(주)나노신소재,2012
414,0.0,1129993.0,0.0,(주)나노신소재,2013
415,1058583.0,3733441.0,28.354084074182506,(주)나노신소재,2014
416,1627143.0,7723716.0,21.06684140121154,(주)나노신소재,2015
417,1112196.0,5955088.0,18.6763990725242,(주)나노신소재,2016
418,1456791.0,6795716.0,21.436902307277116,(주)나노신소재,2017
419,1564244.0,7577945.0,20.64206061141906,(주)나노신소재,2018
