,회사명,거래소코드,회계년도,토빈Q
123,(주)강스템바이오텍,217730,2020,2210.5815859776358
124,(주)강스템바이오텍,217730,2021,1240.9544477113411
125,(주)강원랜드,035250,2011,2217.9227411107454
126,(주)강원랜드,035250,2012,2204.0250294028583
127,(주)강원랜드,035250,2013,2171.982803504714
128,(주)강원랜드,035250,2014,2011.9873347997454
129,(주)강원랜드,035250,2015,2288.1644105419514
130,(주)강원랜드,035250,2016,1982.270289973768
131,(주)강원랜드,035250,2017,1856.476676528884
132,(주)강원랜드,035250,2018,1657.1232891587492
133,(주)강원랜드,035250,2019,1439.7146789386018
134,(주)강원랜드,035250,2020,1376.0574318144877
135,(주)강원랜드,035250,2021,1340.7182946601174
136,(주)강원에너지,114190,2015,494.5678833621272
137,(주)강원에너지,114190,2016,506.9644704419313
138,(주)강원에너지,114190,2017,412.3390184744065
139,(주)강원에너지,114190,2018,460.10180534242767
140,(주)강원에너지,114190,2019,1164.0096378819267
141,(주)강원에너지,114190,2020,1377.1619122489628
142,(주)갤럭시아에스엠,011420,2011,767.3220280283313
143,(주)갤럭시아에스엠,011420,2012,704.9234535007923
144,(주)갤럭시아에스엠,011420,2013,1085.9100139959269
145,(주)갤럭시아에스엠,011420,2014,713.4536466982277
146,(주)갤럭시아에스엠,011420,2015,1426.5507800079527
147,(주)갤럭시아에스엠,011420,2016,962.3201357196249
148,(주)갤럭시아에스엠,011420,2017,1632.7839604171763
149,(주)갤럭시아에스엠,011420,2018,1374.648469472126
150,(주)갤럭시아에스엠,011420,2019,1535.6631910134831
151,(주)경농,002100,2011,379.0279930895571
152,(주)경농,002100,2012,260.74148386517834
153,(주)경농,002100,2013,301.0146648906492
154,(주)경농,002100,2014,364.3197860357507
155,(주)경농,002100,2015,354.68356033496457
156,(주)경농,002100,2016,403.28347108485383
157,(주)경농,002100,2017,392.3176546216759
158,(주)경농,002100,2018,625.212942702228
159,(주)경농,002100,2019,660.4947434006654
160,(주)경농,002100,2020,698.2558141906625
161,(주)경농,002100,2021,585.738073410859
162,(주)경동나비엔,009450,2011,287.7626779192251
163,(주)경동나비엔,009450,2012,509.05032391886965
164,(주)경동나비엔,009450,2013,634.9701928801952
165,(주)경동나비엔,009450,2014,868.8178285465199
166,(주)경동나비엔,009450,2015,1033.597034366678
167,(주)경동나비엔,009450,2016,1382.0473221512304
168,(주)경동나비엔,009450,2017,1257.5790448432303
169,(주)경동나비엔,009450,2018,936.1909261179799
170,(주)경동나비엔,009450,2019,953.4078075888181
171,(주)경동나비엔,009450,2020,975.5189262912045
172,(주)경동나비엔,009450,2021,848.8765094533438
173,(주)경동도시가스,267290,2017,242.3957906462474
174,(주)경동도시가스,267290,2018,205.30327403686422
175,(주)경동도시가스,267290,2019,177.5902802419832
176,(주)경동도시가스,267290,2020,159.5669941877974
177,(주)경동도시가스,267290,2021,148.71773574664027
178,(주)경동인베스트,012320,2011,181.83183368294894
179,(주)경동인베스트,012320,2012,221.09142589262638
180,(주)경동인베스트,012320,2013,274.7266298759009
181,(주)경동인베스트,012320,2014,292.21244934427705
182,(주)경동인베스트,012320,2015,273.0192544948739
