,회사명,거래소코드,회계년도,WW지수
101,(주)TCC스틸,002710,2014,-1.1925976705876211
102,(주)TCC스틸,002710,2015,-1.1713336918233497
103,(주)TCC스틸,002710,2016,-1.5114793557103652
104,(주)TCC스틸,002710,2017,-0.3114109739060513
105,(주)TCC스틸,002710,2018,-0.358829242760489
106,(주)TCC스틸,002710,2019,-0.937565424062348
107,(주)TCC스틸,002710,2020,-0.996947378863602
108,(주)TCC스틸,002710,2021,2.0169139620169227
109,(주)가비아,079940,2011,0.18571290913121385
110,(주)가비아,079940,2012,0.42859960142762676
111,(주)가비아,079940,2013,-0.5476888174815397
112,(주)가비아,079940,2014,0.351698628884208
113,(주)가비아,079940,2015,-0.6730825117176409
114,(주)가비아,079940,2016,-0.5331444793317477
115,(주)가비아,079940,2017,0.4015083055871615
116,(주)가비아,079940,2018,-0.26547693619691515
117,(주)가비아,079940,2019,0.3733157411282827
118,(주)가비아,079940,2020,-0.25093034307726436
119,(주)가비아,079940,2021,0.6533501013744004
120,(주)강스템바이오텍,217730,2017,0.20664891443454259
121,(주)강스템바이오텍,217730,2018,-0.39986958796182925
122,(주)강스템바이오텍,217730,2019,-2.231728703834439
123,(주)강스템바이오텍,217730,2020,1.0073699961699973
124,(주)강스템바이오텍,217730,2021,2.5539433806703005
125,(주)강원랜드,035250,2011,-1.15983531542004
126,(주)강원랜드,035250,2012,-0.6598789652392291
127,(주)강원랜드,035250,2013,0.03956040554068044
128,(주)강원랜드,035250,2014,-0.09725200466342826
129,(주)강원랜드,035250,2015,-0.02929695503227908
130,(주)강원랜드,035250,2016,-0.38202446664861395
131,(주)강원랜드,035250,2017,-2.213535103067401
132,(주)강원랜드,035250,2018,-2.066042960536471
133,(주)강원랜드,035250,2019,0.4824563970399949
134,(주)강원랜드,035250,2020,-9.495995263119916
135,(주)강원랜드,035250,2021,1.9791827499050374
136,(주)강원에너지,114190,2015,-0.9563484143195333
137,(주)강원에너지,114190,2016,-1.381953527748509
138,(주)강원에너지,114190,2017,3.449192291611745
139,(주)강원에너지,114190,2018,-0.26388298684366823
140,(주)강원에너지,114190,2019,-2.7823995853910084
141,(주)강원에너지,114190,2020,-1.127595358530708
142,(주)갤럭시아에스엠,011420,2011,-0.78748898485373
143,(주)갤럭시아에스엠,011420,2012,-0.48866081379623516
144,(주)갤럭시아에스엠,011420,2013,-0.42566638886258956
145,(주)갤럭시아에스엠,011420,2014,-0.3708696477253318
146,(주)갤럭시아에스엠,011420,2015,1.3803756033191932
147,(주)갤럭시아에스엠,011420,2016,-0.804815247909353
148,(주)갤럭시아에스엠,011420,2017,-2.7635766954595304
149,(주)갤럭시아에스엠,011420,2018,-2.8413986632129333
150,(주)갤럭시아에스엠,011420,2019,1.6316742960440411
151,(주)경농,002100,2011,-0.9042334619883681
152,(주)경농,002100,2012,-0.5530195853855663
153,(주)경농,002100,2013,0.7134783285130679
154,(주)경농,002100,2014,-1.4396533470695445
155,(주)경농,002100,2015,-0.9173861402517453
156,(주)경농,002100,2016,-1.101573355385918
157,(주)경농,002100,2017,0.07579327041871525
158,(주)경농,002100,2018,-0.4585988972198801
159,(주)경농,002100,2019,-0.9044669040900757
160,(주)경농,002100,2020,-0.6481647315658016
161,(주)경농,002100,2021,1.473850534860006
162,(주)경동나비엔,009450,2011,-0.5316249327894906
163,(주)경동나비엔,009450,2012,-0.17439487863194958
164,(주)경동나비엔,009450,2013,-0.49215516128922593
165,(주)경동나비엔,009450,2014,-1.181116550118407
