,회사명,거래소코드,회계년도,대주주지분변화분,외국인지분분변화
96,(주)SNT홀딩스,036530,2019/12,-9.78,-0.28000000000000114
97,(주)SNT홀딩스,036530,2020/12,0.48,-0.41999999999999993
98,(주)SNT홀딩스,036530,2021/12,-0.87,0.9500000000000011
99,(주)STX,011810,2011/12,5.68,-2.99
100,(주)STX,011810,2012/12,-5.55,-0.870000000000001
101,(주)STX,011810,2013/12,3.48,-2.54
102,(주)STX,011810,2014/12,8.82,-4.77
103,(주)STX,011810,2015/12,7.199999999999999,-0.04
104,(주)STX,011810,2016/12,-17.59,0.0
105,(주)STX,011810,2017/12,-1.8800000000000001,0.0
106,(주)STX,011810,2018/12,0.23,0.18
107,(주)STX,011810,2019/12,0.0,-0.06
108,(주)STX,011810,2020/12,12.03,0.11000000000000001
109,(주)STX,011810,2021/12,7.35,1.47
110,(주)TCC스틸,002710,2011/12,-17.74,-0.3899999999999999
111,(주)TCC스틸,002710,2012/12,-1.7399999999999998,0.020000000000000018
112,(주)TCC스틸,002710,2013/12,12.46,0.0
113,(주)TCC스틸,002710,2014/12,-11.88,-0.3800000000000001
114,(주)TCC스틸,002710,2015/12,-0.87,-0.44999999999999996
115,(주)TCC스틸,002710,2016/12,6.43,0.35
116,(주)TCC스틸,002710,2017/12,-2.82,0.2799999999999999
117,(주)TCC스틸,002710,2018/12,-3.4499999999999997,0.6600000000000001
118,(주)TCC스틸,002710,2019/12,19.3,-0.16999999999999993
119,(주)TCC스틸,002710,2020/12,-19.39,-1.27
120,(주)TCC스틸,002710,2021/12,0.09,7.220000000000001
121,(주)가비아,079940,2011/12,0.62,-2.1900000000000004
122,(주)가비아,079940,2012/12,10.26,-4.2
123,(주)가비아,079940,2013/12,-9.01,6.390000000000001
124,(주)가비아,079940,2014/12,1.58,6.25
125,(주)가비아,079940,2015/12,-3.61,0.0
126,(주)가비아,079940,2016/12,12.42,-1.1099999999999994
127,(주)가비아,079940,2017/12,-12.03,0.1399999999999988
128,(주)가비아,079940,2018/12,12.03,4.639999999999999
129,(주)가비아,079940,2019/12,-11.64,-0.9199999999999982
130,(주)가비아,079940,2020/12,-0.62,-4.5
131,(주)가비아,079940,2021/12,3.4499999999999997,0.9199999999999999
132,(주)강스템바이오텍,217730,2015/12,-3.2199999999999998,-12.98
133,(주)강스템바이오텍,217730,2016/12,16.96,0.52
134,(주)강스템바이오텍,217730,2017/12,-3.9400000000000013,0.15000000000000002
135,(주)강스템바이오텍,217730,2018/12,-13.41,0.5099999999999999
136,(주)강스템바이오텍,217730,2019/12,3.61,1.5899999999999999
137,(주)강스템바이오텍,217730,2020/12,-3.4499999999999997,-1.0799999999999998
138,(주)강스템바이오텍,217730,2021/12,0.62,-0.32000000000000006
139,(주)강원랜드,035250,2011/12,11.64,30.860000000000003
140,(주)강원랜드,035250,2012/12,-12.42,0.4099999999999966
141,(주)강원랜드,035250,2013/12,12.31,-4.109999999999999
142,(주)강원랜드,035250,2014/12,-12.280000000000001,-2.1099999999999994
143,(주)강원랜드,035250,2015/12,0.36,2.4200000000000017
144,(주)강원랜드,035250,2016/12,16.99,0.08999999999999986
