,index,회사명,거래소코드,회계년도,수명주기,기업규모명,산업분류,자기자본순이익률,외국인지분율,정상영업이익증가율,당좌비율,유보율,당기순이익(손실),대주주지분율,산업평균_총자산증가율차분,배당금_현금,배당성향,종합등급,환경,사회,지배구조,한국ESG연구소,Moody's,MSCI,S&P
45,45,(주)헥토이노베이션,214180,2021,성숙기,중소기업,정보통신업,-0.0099999999999997,6.48,28.37,-19.19999999999999,82.42000000000007,3887318.0,6.009999999999998,5.27841484510083,973592.0,0.2625911211438847,,,,,,,,
46,46,KISCO홀딩스(주),1940,2021,성숙기,중견기업,제조업,8.53,0.5199999999999996,99.16,-45.77999999999997,665.1000000000004,-960299.0,0.0,7.43841484510083,1041977.0,11.889066882837833,B,B,B,B,-,-,-,-
47,47,LG이노텍(주),11070,2021,성숙기,대기업,제조업,20.75,-7.160000000000004,16.709999999999994,-18.590000000000003,749.1600000000001,603234674.0,0.0,23.57841484510083,54428366.0,0.1067797860467525,A,A,A+,A,A,-,BBB,72
48,48,고려신용정보(주),49720,2021,성숙기,중견기업,"사업시설 관리, 사업 지원 및 임대 서비스업",-8.169999999999998,-0.2099999999999999,1.0599999999999987,-34.46,54.78000000000003,-1246643.0,0.0,-28.591585154899168,350636.0,9.326938999430835,,,,,,,,
49,49,고려아연(주),10130,2021,성장기,대기업,제조업,2.700000000000001,-5.359999999999999,10.72,-81.08000000000001,676.1000000000004,192681692.0,0.0,8.83841484510083,88371200.0,-0.3499929235343018,B,B+,C,B+,A,-,B,7
50,50,고려제약(주),14570,2021,성숙기,중소기업,제조업,1.4299999999999995,0.69,-221.07,22.879999999999995,124.88000000000012,1682664.0,0.0,-3.541585154899169,198883.0,-1.932885482079122,,,,,,,,
51,51,금호석유화학(주),11780,2021,성숙기,중견기업,제조업,27.58,-10.02,122.49,15.939999999999998,1153.1999999999998,552662926.0,0.3399999999999998,50.668414845100834,165044043.0,1.7909921606553674,B+,B,A,A,A,-,B,23
52,52,나이스평가정보(주),30190,2021,성숙기,중견기업,정보통신업,-0.0199999999999995,0.0,-6.4,-9.740000000000007,140.79999999999995,7612191.0,0.0,2.18841484510083,3288054.0,0.9626298893383378,,,,,,,,
53,53,남화산업(주),111710,2021,성숙기,중견기업,"예술, 스포츠 및 여가관련 서비스업",4.6000000000000005,-0.09,51.24999999999999,-447.72,278.96000000000004,7126504.0,0.2999999999999971,4.98841484510083,2058800.0,-1.1706427674772932,,,,,,,,
54,54,대상(주),1680,2021,성장기,중견기업,제조업,0.5,-5.790000000000001,-46.470000000000006,-12.879999999999995,398.02999999999975,24857830.0,-0.4699999999999988,8.068414845100829,3601825.0,-1.3168994560482936,A,A,A+,B+,B+,-,-,29
55,55,디와이파워(주),210540,2021,성장기,중견기업,제조업,0.7000000000000011,-0.1999999999999993,-18.31,-18.599999999999994,668.6700000000001,10066784.0,0.0,9.26841484510083,882868.0,-11.514468969687565,B,C,C,B+,-,-,-,-
56,56,리노공업(주),58470,2021,성숙기,중견기업,제조업,10.13,4.93,28.94,-414.57,1054.46,48427043.0,0.0,18.01841484510083,15179120.0,-4.557928229179986,,,,,,,,
57,57,미창석유공업(주),3650,2021,성숙기,중견기업,제조업,4.079999999999999,0.2699999999999996,82.28999999999999,-99.22000000000004,285.7399999999998,11953400.0,0.0,5.928414845100829,605192.0,-4.573953071576723,B,D,B,B+,-,-,-,-
58,58,삼지전자(주),37460,2021,성숙기,중견기업,제조업,-0.2400000000000002,0.72,60.92,-11.069999999999991,527.8200000000002,-3124325.0,-0.1900000000000048,23.568414845100843,1533551.0,37.13187415037309,,,,,,,,
59,59,삼화콘덴서공업(주),1820,2021,성숙기,중견기업,제조업,0.870000000000001,-3.69,49.72,6.1200000000000045,269.1099999999999,4802200.0,0.0,5.25841484510083,2052176.0,5.169262126985185,C,C,B,B,-,-,-,5
60,60,신성델타테크(주),65350,2021,성숙기,중견기업,제조업,10.25,-1.83,153.19,-8.36,50.59000000000003,16101007.0,-1.1899999999999975,7.698414845100828,539679.0,-16.831196046646806,,,,,,,,
61,61,씨에스윈드(주),112610,2021,도입기,중견기업,제조업,1.9400000000000013,2.1500000000000004,-58.78,22.91,-539.1999999999998,4507448.0,-8.979999999999997,81.72841484510084,8017138.0,16.658155207696623,B,B,C,B+,B+,-,-,1
62,62,씨제이(주),1040,2021,성숙기,대기업,"전문, 과학 및 기술 서비스업",3.770000000000001,-2.34,43.22,-3.4799999999999898,235.98999999999975,43193294.0,0.0,5.718414845100831,10059280.0,-47.74491615483677,A,B+,A+,A,A,-,BBB,16
63,63,씨제이제일제당(주),97950,2021,성숙기,대기업,제조업,-2.74,-1.8500000000000012,-39.46,-11.129999999999995,1024.4799999999996,-36829707.0,0.0,7.4184148451008305,16023183.0,7.550151893883754,A,A,A+,A,S,-,A,78
64,64,아이에스동서(주),10780,2021,성숙기,중견기업,제조업,-2.24,-0.3200000000000003,-166.88,-58.62,395.3800000000001,-14831572.0,0.0500000000000042,-28.65158515489917,6167405.0,8.923465016465968,B+,B,B+,B+,B+,-,-,1
65,65,에스케이케미칼(주),285130,2021,성장기,대기업,제조업,-19.29,-0.1599999999999983,390.07,120.24,637.5699999999999,86760128.0,1.3500000000000014,87.15841484510084,32619772.0,7.306889577337774,A,A,A+,A,A+,-,BBB,58
66,66,에스케이하이닉스(주),660,2021,성장기,대기업,제조업,7.31,-0.7800000000000011,62.80000000000001,6.540000000000006,275.0999999999999,5349385000.0,0.0,25.58841484510084,258653736.0,-7.905369411725738,A,B+,A+,A,A+,-,A,79
67,67,엠케이전자(주),33160,2021,성장기,중견기업,제조업,0.4700000000000006,-0.8000000000000003,10.13,5.359999999999999,413.27,804177.0,0.0,1.9184148451008305,208884.0,-0.804184758772287,,,,,,,,
68,68,케이지케미칼(주),1390,2021,성장기,중견기업,제조업,5.44,0.1099999999999998,-13.659999999999997,-2.440000000000005,122.14,24771911.0,3.490000000000002,8.85841484510083,1720586.0,97.54726963779422,C,C,C,B,-,-,-,2
69,69,태경케미컬(주),6890,2021,성숙기,중견기업,제조업,1.87,0.4300000000000001,-488.91,23.25999999999999,285.5300000000002,3224722.0,0.0,10.54841484510083,226678.0,-7.8239533219228115,C,D,B,B,-,-,-,-
70,70,피아이첨단소재(주),178920,2021,성숙기,중견기업,제조업,5.410000000000002,4.119999999999999,-52.18000000000001,2.9299999999999784,292.8599999999999,22276147.0,0.0799999999999983,14.258414845100829,11129836.0,-0.0274856141182766,B+,B+,B,B+,A,-,-,5
71,71,하나머티리얼즈(주),166090,2021,성숙기,중견기업,제조업,7.140000000000001,9.650000000000002,25.09,-21.0,687.3900000000001,28622087.0,0.2199999999999988,6.398414845100831,5885952.0,2.259489682600128,,,,,,,,
72,72,하나제약(주),293480,2021,성숙기,중견기업,제조업,4.99,0.32,19.33,-97.67000000000002,-45.37999999999965,13120971.0,0.1700000000000017,4.598414845100829,800713.0,-22.370671719634306,B,D,B,B+,-,-,-,-
73,73,한국유나이티드제약(주),33270,2021,성숙기,중견기업,제조업,-0.0899999999999998,3.61,-33.58,40.44999999999999,293.24000000000024,2035492.0,-0.009999999999998,0.8484148451008302,296865.0,-0.3507328404954641,B,C,B,B+,-,-,-,7
74,74,해성디에스(주),195870,2021,성숙기,중견기업,제조업,13.47,5.020000000000001,37.34,16.939999999999998,73.5,42888652.0,-0.0700000000000002,6.61841484510083,2550000.0,-11.523233094880151,A,A,A+,A,-,-,-,-
