,회사명,거래소코드,회계년도,대주주지분변화분,외국인지분분변화,상장일,자산,당기순이익(손실),비유동자산증가율,유동자산증가율,자기자본증가율,매출액증가율,정상영업이익증가율,순이익증가율,총포괄이익증가율,매출액순이익률,총자본순이익률,자기자본순이익률,매출원가대매출액비율,광고선전비대매출액비율,유보율,비유동비율,유동비율,당좌비율,현금비율,부채비율,유동부채비율,차입금비율,이자보상배율(이자비용),유보액대비율,유보액대납입자본배율,투자집중도,산업분류,1인년간평균급여(직원),토빈Q,target,WW지수,RDS,수명주기,산업평균_총자산증가율차분,대주주지분율,외국인지분율,업력,predict,상장협 산업분류 코드(대분류),기업규모명,배당금_현금,배당성향,종합등급,환경,사회,지배구조,한국ESG연구소,Moody's,MSCI,S&P,내용
10,(주)MH에탄올,23150,2019,-12.41,0.29,1996-12-24,451474451.0,-5004935,1.96,10.95,-7.78,11.1,537.44,860.9023444,45.22930641,-9.34,-1.69,-0.88,67.04,0.03,1277.63,527.35,11.62,8.73,3.21,468.69,355.65,302.7,0.73,17.87,17.55,543.48,제조업,76930,0.9251895,0,-0.771695775,0.0,성숙기,2.461705283,52.17,0.71,41,,30000,중소기업,2277984,-45.51475693,,,,,,,,,
11,(주)SH에너지화학,2360,2013,0.16,-0.26,1985-12-23,110488951.0,4841817,-3.28,16.91,7.81,19.57,194.26,1146.78,1158.1,1.99,4.3,7.35,92.26,0.01,23.54,73.9,168.09,134.09,15.75,58.75,50.48,40.2,5.3,13.23,0.26,43.5,제조업,53000,1.115404779,0,-0.080953258,0.0002816,성숙기,6.519830716,31.12,31.62,55,,30000,중견기업,1663587,34.35873351,,,,,,,,,
12,(주)SH에너지화학,2360,2014,-0.13,5.3,1985-12-23,110741407.0,15569914,-1.99,2.16,20.89,-0.43,231.12,238.32,221.97,7.25,15.13,21.7,85.6,0.01,49.06,59.85,291.69,224.49,37.69,31.46,24.55,11.36,26.68,26.41,0.52,44.09,제조업,59000,1.788804156,0,-1.289140571,0.000518933,성숙기,1.225384296,31.12,36.92,56,,30000,중견기업,4990699,32.05347827,,,,,,,,,
13,(주)SH에너지화학,2360,2015,2.01,-1.85,1985-12-23,115520726.0,12639344,-6.17,13.08,8.99,-6.27,7.89,-22.92,-21.75,5.82,11.13,14.62,82.76,0.0,62.33,51.62,399.36,329.69,115.03,26.05,18.64,7.51,84.87,31.74,0.66,49.25,제조업,59000,1.585249214,0,-1.262806126,0.0,성숙기,4.109252753,31.12,35.07,57,,30000,중견기업,4879795,38.60797681,,,,,,,,,
14,(주)SH에너지화학,2360,2016,6.06,0.12,1985-12-23,124488724.0,17574101,-14.88,23.47,13.99,0.9,5.02,42.44,40.85,8.26,15.02,18.66,82.31,0.0,84.85,38.68,673.11,580.63,211.38,19.6,12.02,3.42,210.93,39.44,0.88,55.22,제조업,64000,1.528839754,1,-1.167607565,0.0,쇠퇴기,7.653259767,31.12,35.19,58,,30000,중견기업,6099736,34.70866589,,,,,,,,,
15,(주)SH에너지화학,2360,2017,4.33,-1.25,1985-12-23,125312154.0,8905104,-6.34,4.01,3.22,-13.87,-41.16,-46.61,-46.37,5.25,7.91,9.21,86.02,0.0,90.76,35.02,1057.37,816.13,399.76,16.36,7.69,3.3,162.17,42.06,0.95,64.78,제조업,61000,1.408801224,0,-0.416504827,0.0,성숙기,0.498909362,31.12,33.94,59,,30000,중견기업,4768892,53.55234481,,,,,,,,,
16,(주)SH에너지화학,2360,2018,24.86,0.78,1985-12-23,122434685.0,2766802,-2.75,-2.1,-1.92,-2.4,-85.19,-75.89,-76.53,1.11,1.64,2.21,93.32,0.0,87.25,34.8,1287.95,953.73,441.48,16.17,6.32,3.32,22.72,41.23,0.91,64.87,제조업,60000,1.111351892,0,-0.600515367,0.0,성숙기,-2.327565291,31.12,34.72,60,,30000,중견기업,2549125,92.13254147,,,,,,,,,
17,(주)SH에너지화학,2360,2019,-27.08,-0.07,1985-12-23,123415832.0,-3151629,8.67,-2.57,-5.94,-23.28,-249.05,-223.7,-249.07,-2.19,-2.51,-2.84,95.27,0.0,76.79,40.26,1110.48,887.83,542.25,24.66,7.6,8.85,-24.12,35.98,0.8,83.66,제조업,59000,1.108221326,0,-1.866131177,0.0,성장기,0.691705283,31.12,34.65,61,,30000,중견기업,0,0.0,,,,,,,,,
18,(주)SIMPAC,9160,2013,-27.19,12.16,1989-07-29,361985890.0,19196136,52.71,-28.88,11.16,-8.7,-6.32,3.93,9.48,9.74,5.89,10.11,79.9,0.05,1349.5,121.32,81.19,62.03,7.16,73.34,64.07,31.76,16.58,54.21,13.49,126.26,제조업,48000,0.984810634,0,-1.120457537,0.0,성장기,13.54983072,41.2,15.33,40,,30000,중견기업,2161252,11.25878666,,,,,,,,,
19,(주)SIMPAC,9160,2014,-9.82,2.23,1989-07-29,381939281.0,10218575,-6.42,33.34,4.71,27.9,-26.52,-28.56,-49.3,5.44,3.85,6.7,83.63,0.09,1417.16,108.2,105.96,76.17,19.44,74.3,62.39,18.64,8.48,54.08,14.2,119.34,제조업,47000,0.838333665,0,-0.339796979,0.0,쇠퇴기,6.505384296,41.2,17.56,41,,30000,중견기업,2161252,21.15022887,,,,,,,,,
20,(주)SIMPAC,9160,2015,-0.36,0.43,1989-07-29,422833445.0,19448583,4.92,20.18,6.1,2.42,22.48,14.79,25.29,6.1,4.09,7.29,82.15,0.12,1508.53,107.21,102.82,69.62,14.76,82.25,72.98,22.93,14.66,51.88,15.09,131.52,제조업,47000,0.854249109,1,-0.998541322,0.0,성장기,10.49925275,40.89,17.99,42,,30000,중견기업,3248141,16.70117047,,,,,,,,,
21,(주)SIMPAC,9160,2016,3.58,0.72,1989-07-29,417865468.0,16444650,-3.08,1.55,3.62,-0.91,10.95,-1.54,-3.69,6.06,3.85,6.85,81.52,0.08,1585.77,100.28,113.8,84.21,33.41,73.81,64.61,22.8,16.75,55.19,15.86,133.5,제조업,48000,0.75241884,0,-1.283361461,0.0,성숙기,-1.276740233,40.88,18.71,43,,30000,중견기업,2650978,16.12061065,,,,,,,,,
22,(주)SIMPAC,9160,2017,-3.45,-4.28,1989-07-29,381158251.0,7133940,-4.4,-14.77,0.17,-13.64,-50.36,-20.32,-23.49,5.59,3.23,5.36,83.69,0.12,1643.73,95.71,115.32,85.28,23.55,58.27,54.25,22.93,10.1,62.71,16.44,140.62,제조업,44000,0.68309065,0,-0.444794445,0.0,쇠퇴기,-8.941090638,40.88,14.43,44,,30000,중견기업,1989425,27.88676384,,,,,,,,,
