,target,거래소코드,상장일,수명주기,통계청 한국표준산업분류 10차(대분류),회계년도,회사명,대주주지분변화분,외국인지분분변화,자산,당기순이익(손실),비유동자산증가율,유동자산증가율,자기자본증가율,매출액증가율,정상영업이익증가율,순이익증가율,총포괄이익증가율,매출액순이익률,총자본순이익률,자기자본순이익률,매출원가대매출액비율,광고선전비대매출액비율,유보율,비유동비율,유동비율,당좌비율,현금비율,부채비율,유동부채비율,차입금비율,이자보상배율(이자비용),유보액대비율,유보액대납입자본배율,투자집중도,1인년간평균급여(직원),토빈Q,WW지수,RDS,산업평균_총자산증가율차분,보통주식비율,외국인_주식분포비율,업력
10,0,23150,1996/12/24,성숙기,제조업,2019,(주)MH에탄올,0.0,0.2499999999999999,67037639.0,1123194.0,67.54,-20.72,9.96,1.62,-49.72,-71.36,-63.38,2.18,1.61,2.33,78.8,0.14,601.07,36.15,294.21,283.74,72.26,32.89,32.88,0.0,39.01,64.52,6.01,120.45,41641.0,0.247504942708379,-1.0931483170029994,0.0370555565192276,-6.464615703533459,53.04,0.41,38.0
11,0,2360,1985/12/23,성숙기,제조업,2013,(주)SH에너지화학,-0.15,1.42,93845576.0,1977524.0,-7.26,3.66,4.7,4.72,49.37068527315937,860.9023444180505,45.22930641330159,1.99,1.83,4.19,93.14,0.01,528.4,46.39,161.8,160.55,45.27,86.93,86.86,48.69,0.2,45.31,5.53,95.9,46415.0,0.9246759386079104,-0.2638829868436682,0.0,0.6824347089184742,42.25,2.08,42.0
12,0,2360,1985/12/23,성숙기,제조업,2014,(주)SH에너지화학,0.0,-0.29,255984725.0,13751960.0,-0.34,-9.11,6.67,43.36,47.54,23.73,7.68,7.1,5.31,8.89,65.78,2.61,1409.85,77.51,178.73,42.31,14.09,56.89,44.42,28.13,4.81,62.15,14.67,121.04,47617.0,0.6632799750063212,0.7134783285130679,0.0414895586184024,-5.020169283729302,60.15,1.13,56.0
13,0,2360,1985/12/23,성숙기,제조업,2015,(주)SH에너지화학,0.0,-0.3599999999999999,284623063.0,9271741.0,14.64,7.81,2.85,-4.01,-21.99,-44.35,-45.26,3.77,2.63,4.73,65.14,2.73,1449.95,85.83,154.43,45.72,17.54,68.5,53.53,36.94,4.53,57.87,15.19,139.85,46938.0,0.7704409717844966,-1.4396533470695445,0.0631629322040183,12.18538429646654,60.14,0.77,57.0
14,1,2360,1985/12/23,쇠퇴기,제조업,2016,(주)SH에너지화학,-32.19,-0.01,316341853.0,6488880.0,7.02,15.42,3.02,4.21,-17.35,-10.12,1.71,3.55,2.32,4.13,64.71,2.82,1485.56,88.83,140.92,39.99,13.08,81.11,65.49,49.68,3.96,53.57,15.62,149.92,47961.0,0.8020873086938641,-0.9173861402517453,0.0711323808043842,10.929252752634891,60.14,0.76,58.0
15,0,2360,1985/12/23,성숙기,제조업,2017,(주)SH에너지화학,0.18,-0.17,320915151.0,5770891.0,6.25,-3.18,2.98,3.85,-24.3,-3.58,-8.82,3.12,2.0,3.86,66.36,2.75,1531.29,89.61,138.91,35.77,8.46,74.44,61.07,41.82,3.5,55.71,16.48,142.8,49020.0,0.8295926451911272,-1.101573355385918,0.0812963281403086,1.3432597671560678,60.14,0.59,59.0
16,0,2360,1985/12/23,성숙기,제조업,2018,(주)SH에너지화학,36.36,0.12,335873898.0,11539079.0,4.6,4.73,3.31,1.25,-7.86,55.69,36.26,4.88,3.07,5.83,67.23,2.75,1583.5,89.74,135.0,36.12,10.61,74.8,63.01,41.39,2.8,55.66,17.24,151.28,48768.0,0.8197911556675952,0.0757932704187152,0.0590186820536992,4.49890936238123,60.13,0.71,60.0
17,0,2360,1985/12/23,성장기,제조업,2019,(주)SH에너지화학,-36.5,-0.3,357260541.0,9613575.0,8.61,4.0,3.42,2.96,74.84,-45.49,-46.64,2.29,1.41,3.08,65.79,2.73,1639.37,92.96,132.49,38.2,9.58,77.34,63.69,41.98,5.16,54.93,18.09,155.44,48674.0,1.060891741469988,-0.4585988972198801,0.0506765651831544,6.342434708918474,60.13,0.41,61.0
18,0,9160,1989/07/29,성장기,제조업,2013,(주)SIMPAC,7.01,0.8800000000000001,370874091.0,7061857.0,-0.76,8.85,0.56,6.99,-41.16,-18.01,8.47,1.76,1.1,2.47,67.29,2.77,1648.84,92.06,150.9,41.85,9.67,83.71,60.73,46.81,2.2,53.03,18.13,149.7,49353.0,1.1156891996265117,-0.9044669040900756,0.0453803195473046,3.701705282809784,60.13,1.29,62.0
19,0,9160,1989/07/29,쇠퇴기,제조업,2014,(주)SIMPAC,-32.25,-1.1900000000000004,354779867.0,9251575.0,43.0,-7.79,6.55,9.28,42.08,20.9,55.9,2.69,3.4,6.19,71.51,3.36,1360.07,117.86,89.68,41.69,11.26,89.44,79.81,25.87,14.4,49.38,13.75,64.48,38000.0,1.1066186591134834,-0.4921551612892259,0.0132432868303682,18.3298307162707,58.04,4.09,35.0
20,1,9160,1989/07/29,성장기,제조업,2015,(주)SIMPAC,32.25,-1.7399999999999998,401658957.0,9082312.0,9.5,19.33,1.4,3.58,-31.94,-17.41,-34.56,2.19,2.48,4.92,73.16,3.56,1380.39,127.2,85.84,41.02,10.51,111.38,98.05,55.37,4.93,44.3,13.97,83.21,40000.0,1.3951983218439716,-1.181116550118407,0.0168701359500044,14.20538429646654,58.04,2.35,36.0
21,0,9160,1989/07/29,성숙기,제조업,2016,(주)SIMPAC,-37.34,2.24,402084368.0,19320742.0,0.88,-1.06,8.48,19.36,79.9,80.96,107.59,3.27,4.17,8.48,68.76,3.69,1505.49,118.32,89.35,40.12,10.2,95.11,85.95,33.49,6.98,48.25,15.23,71.0,48000.0,1.5205887401471925,-0.4102920491614298,0.0123348723937674,-0.1007472473651091,57.42,4.59,37.0
22,0,9160,1989/07/29,쇠퇴기,제조업,2017,(주)SIMPAC,0.1399999999999999,3.28,429754702.0,28636194.0,4.31,10.85,15.78,13.91,89.21,122.2,94.41,6.42,9.01,16.79,65.55,3.4,1758.06,106.52,98.83,48.13,12.57,79.99,74.34,13.95,25.05,52.74,17.79,66.16,43000.0,1.826025055497822,-0.7706816430774861,0.0152004219567484,6.773259767156068,57.42,7.87,38.0
